Ticker,ROI(%)
1307.TW,2.28
1342.TW,15.96
1449.TW,9.73
1521.TW,8.42
1727.TW,61.47
1762.TW,15.72
1773.TW,-2.47
1904.TW,15.78
2025.TW,23.58
2108.TW,-24.36
2114.TW,3.43
2241.TW,19.83
2301.TW,2.34
2356.TW,33.86
2377.TW,39.37
2382.TW,8.13
2401.TW,4.94
2414.TW,26.4
2420.TW,4.61
2423.TW,51.6
2428.TW,32.23
2441.TW,1.83
2459.TW,-3.03
2471.TW,0.53
2542.TW,-3.37
2597.TW,0.31
2838.TW,11.64
2851.TW,12.51
2867.TW,8.18
2884.TW,6.2
2897.TW,10.65
3019.TW,1.59
3033.TW,37.64
3048.TW,48.61
3059.TW,-21.41
3231.TW,0.9
3673.TW,53.82
4306.TW,10.99
4739.TW,-8.79
4764.TW,45.52
5215.TW,10.82
5288.TW,20.11
5607.TW,3.22
5871.TW,-0.17
6005.TW,21.94
6115.TW,0.47
6197.TW,40.23
6209.TW,-17.74
6214.TW,-1.11
6282.TW,-12.04
6414.TW,10.42
6579.TW,25.03
6606.TW,-0.34
6756.TW,-5.05
6792.TW,19.46
6902.TW,48.63
8070.TW,8.9
8473.TW,42.88
9934.TW,-2.32
2891C.TW,2.99
8487.TW,17.49
2064.TWO,10.34
3071.TWO,-5.27
3088.TWO,74.34
3191.TWO,22.56
3390.TWO,-7.65
3511.TWO,20.36
3691.TWO,27.3
4127.TWO,116.69
4534.TWO,-0.98
4953.TWO,4.16
4995.TWO,0.96
5228.TWO,104.58
5410.TWO,15.75
5474.TWO,-14.68
5493.TWO,-15.88
5864.TWO,25.92
6016.TWO,24.45
6020.TWO,1.12
6026.TWO,0.56
6113.TWO,-12.91
6161.TWO,19.36
6227.TWO,37.63
6229.TWO,11.24
6290.TWO,41.18
6411.TWO,-1.09
6642.TWO,40.76
6667.TWO,-4.6
6716.TWO,65.88
6996.TWO,-4.55
8032.TWO,-5.32
8064.TWO,129.24
8077.TWO,1.22
