Ticker,ROI(%)
1256.TW,1.98
1308.TW,-1.57
1312.TW,13.2
1513.TW,-13.11
1514.TW,-4.45
1521.TW,1.71
1612.TW,6.1
1714.TW,-0.96
1718.TW,2.7
1802.TW,17.0
1809.TW,10.69
2303.TW,23.31
2331.TW,10.41
2356.TW,6.43
2413.TW,84.28
2419.TW,10.57
2634.TW,23.48
2645.TW,-11.1
3031.TW,-12.15
3481.TW,60.86
6005.TW,26.63
6257.TW,40.42
6525.TW,-5.1
6691.TW,11.93
6753.TW,-5.58
6776.TW,4.74
8131.TW,57.29
8271.TW,69.12
1312A.TW,-15.44
3265.TWO,40.98
4543.TWO,-8.81
5302.TWO,18.84
5351.TWO,18.4
5498.TWO,117.04
6015.TWO,12.51
6016.TWO,16.39
6020.TWO,-1.24
6129.TWO,-9.7
6265.TWO,111.51
6693.TWO,9.38
