Ticker,ROI(%)
1301.TW,11.75
1608.TW,-1.74
1731.TW,-2.26
2103.TW,0.87
2109.TW,2.53
2313.TW,-15.73
2362.TW,15.25
2395.TW,38.59
2421.TW,2.33
2464.TW,97.3
2465.TW,14.3
2491.TW,198.77
2603.TW,17.54
2605.TW,-12.23
2739.TW,10.19
2753.TW,7.29
2850.TW,1.01
3049.TW,20.54
3617.TW,8.97
4766.TW,6.76
4912.TW,-11.57
4938.TW,-0.96
4949.TW,7.35
5515.TW,31.61
5607.TW,-4.9
6108.TW,58.39
6666.TW,4.29
1268.TWO,0.35
1777.TWO,4.05
1815.TWO,13.39
3228.TWO,0.66
3490.TWO,82.38
3498.TWO,106.06
3631.TWO,26.88
4527.TWO,3.81
4554.TWO,11.46
4735.TWO,26.35
4907.TWO,13.59
5371.TWO,-7.73
6486.TWO,6.02
6506.TWO,3.66
6716.TWO,64.44
6953.TWO,-1.55
8354.TWO,-12.04
