Ticker,ROI(%)
2382.TW,-12.3
2412.TW,-1.87
2460.TW,13.4
2484.TW,16.92
2535.TW,12.0
2855.TW,5.83
2883.TW,13.2
2885.TW,10.49
2887.TW,13.7
3026.TW,-7.89
3138.TW,18.27
3504.TW,-11.75
4540.TW,18.39
4904.TW,9.99
5234.TW,8.45
6257.TW,9.63
6426.TW,64.0
8081.TW,7.07
2883B.TW,1.92
8112A.TW,2.96
1815.TWO,-10.12
3324.TWO,17.84
3556.TWO,2.52
3709.TWO,-9.5
4533.TWO,42.85
4987.TWO,17.5
5302.TWO,2.05
5498.TWO,82.91
5864.TWO,40.77
6015.TWO,3.82
6109.TWO,-23.18
6134.TWO,1.9
6588.TWO,121.65
7709.TWO,55.27
8074.TWO,32.07
