Ticker,ROI(%)
1342.TW,15.96
1449.TW,9.73
1612.TW,-4.5
1713.TW,-13.08
1725.TW,-22.1
1726.TW,-0.47
2025.TW,12.6
2114.TW,3.43
2301.TW,7.94
2356.TW,35.39
2362.TW,-2.81
2376.TW,-2.55
2380.TW,7.74
2382.TW,4.32
2393.TW,10.3
2414.TW,26.98
2420.TW,4.2
2423.TW,50.38
2450.TW,-0.11
2459.TW,-3.03
2461.TW,-0.14
2495.TW,16.52
2501.TW,0.08
2542.TW,-3.37
2546.TW,2.16
2597.TW,0.31
2637.TW,-5.0
2704.TW,-8.86
2834.TW,13.28
2849.TW,0.87
2850.TW,22.15
2867.TW,6.4
2880.TW,16.78
2884.TW,6.2
2885.TW,40.6
2897.TW,10.41
3019.TW,0.06
3033.TW,36.44
3048.TW,48.61
3059.TW,-21.95
3231.TW,5.91
3504.TW,9.68
3673.TW,53.82
4306.TW,10.57
4739.TW,-9.05
4764.TW,54.42
4807.TW,78.59
4976.TW,4.74
5288.TW,25.89
5607.TW,3.86
5871.TW,-0.36
6005.TW,21.94
6115.TW,0.47
6197.TW,26.43
6209.TW,-15.4
6214.TW,4.2
6282.TW,9.52
6414.TW,10.42
6579.TW,27.26
6592.TW,5.11
6606.TW,-1.32
6715.TW,-13.14
6756.TW,-8.56
8070.TW,8.9
8112.TW,-19.74
8473.TW,45.86
8926.TW,52.93
2891C.TW,2.99
8487.TW,17.49
2064.TWO,10.34
3071.TWO,-7.82
3088.TWO,62.47
3191.TWO,25.28
3211.TWO,-21.3
3390.TWO,-9.53
3546.TWO,9.42
3556.TWO,27.81
3691.TWO,-13.9
4721.TWO,5.99
4953.TWO,4.16
4995.TWO,-2.71
5014.TWO,-3.15
5410.TWO,15.56
5474.TWO,-14.68
5478.TWO,-0.21
5493.TWO,-18.18
5864.TWO,25.92
6016.TWO,24.45
6020.TWO,2.28
6021.TWO,20.96
6175.TWO,20.94
6227.TWO,35.73
6411.TWO,-1.09
6570.TWO,34.53
6642.TWO,40.76
6667.TWO,-4.78
6716.TWO,60.46
6894.TWO,2.36
6996.TWO,-3.99
8032.TWO,-5.32
8076.TWO,3.92
8416.TWO,-6.87
8472.TWO,41.53
