Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2347.TW,2026-04-09,80,35,20,10,15,2.54,2.61,-0.07,53.1,2.21,76.68,87.73,11.4
3498.TWO,2026-04-09,80,40,25,15,0,4.47,4.53,-0.06,63.3,5.76,72.58,101.38,57.2
2887.TW,2026-04-09,80,40,20,15,5,0.12,0.13,-0.01,50.5,0.63,23.39,26.54,165.9
2022.TW,2026-04-09,75,40,20,15,0,0.03,0.06,-0.02,52.6,0.27,8.63,9.98,25.8
2345.TW,2026-04-09,75,25,20,15,15,75.05,75.74,-0.7,55.7,102.5,1485.0,1997.5,84.8
3209.TW,2026-04-09,75,35,15,10,15,1.43,1.66,-0.23,47.0,1.64,40.67,48.87,18.6
4771.TW,2026-04-09,75,30,20,15,10,1.8,2.16,-0.36,57.6,6.5,179.5,212.0,24.8
2369.TW,2026-04-09,75,35,10,15,15,0.54,0.83,-0.28,47.2,2.65,25.15,38.4,20.9
8112.TW,2026-04-09,70,35,10,15,10,0.33,0.7,-0.37,35.2,5.51,71.58,99.13,38.8
4989.TW,2026-04-09,70,25,15,15,15,1.32,1.54,-0.22,46.3,4.89,63.62,88.07,38.8
1785.TWO,2026-04-09,70,35,20,15,0,6.42,6.42,-0.0,54.6,8.44,88.12,130.32,36.1
4739.TW,2026-04-09,70,30,15,15,10,1.35,1.98,-0.64,49.7,6.21,70.28,101.33,113.0
4923.TWO,2026-04-09,65,40,10,15,0,0.95,0.96,-0.01,27.8,1.71,33.08,41.63,23.3
2337.TW,2026-04-09,65,25,10,15,15,9.41,10.09,-0.68,49.4,13.57,114.86,182.71,30.7
6016.TWO,2026-04-09,65,35,15,15,0,0.01,0.11,-0.1,34.1,0.49,15.72,18.17,57.4
2436.TW,2026-04-09,65,30,10,10,15,0.89,1.41,-0.52,36.7,3.76,53.98,72.78,10.7
2471.TW,2026-04-09,65,40,15,10,0,0.09,0.15,-0.06,43.7,1.24,49.72,55.92,11.5
3033.TW,2026-04-09,65,40,15,10,0,0.36,0.44,-0.09,40.4,1.28,30.44,36.84,13.5
2395.TW,2026-04-09,60,25,15,5,15,3.21,3.64,-0.42,49.5,12.11,323.78,384.33,9.9
8147.TWO,2026-04-09,60,30,15,15,0,3.53,4.29,-0.76,45.9,6.96,127.58,162.38,28.4
6525.TW,2026-04-09,60,35,20,5,0,0.31,0.33,-0.01,50.6,1.94,80.22,89.92,8.6
1593.TWO,2026-04-09,60,30,20,10,0,0.44,0.62,-0.19,56.4,0.78,32.19,36.09,12.9
6197.TW,2026-04-09,60,20,15,10,15,3.54,4.28,-0.74,40.6,10.43,158.14,210.29,11.6
3481.TW,2026-04-09,60,35,10,5,10,0.01,0.12,-0.11,45.7,1.62,23.71,31.81,5.7
4764.TW,2026-04-09,60,30,15,5,10,0.31,0.72,-0.41,47.1,11.36,126.78,183.58,3.5
6894.TWO,2026-04-09,60,25,20,15,0,16.94,18.9,-1.96,54.8,27.07,331.86,467.21,20.2
6881.TWO,2026-04-08,60,40,15,5,0,1.98,2.05,-0.07,48.5,3.0,233.5,248.5,8.9
3663.TWO,2026-04-09,60,30,15,15,0,1.39,2.02,-0.63,46.2,5.11,61.78,87.33,28.1
2414.TW,2026-04-09,55,35,15,5,0,0.21,0.33,-0.11,35.6,0.5,42.25,44.75,3.7
6435.TWO,2026-04-09,55,25,15,15,0,2.32,3.53,-1.21,40.5,8.29,142.92,184.37,26.8
9911.TW,2026-04-09,55,35,15,5,0,0.44,0.64,-0.2,43.4,1.47,81.66,89.01,5.4
4566.TW,2026-04-09,55,35,15,5,0,0.19,0.2,-0.01,48.3,2.95,55.0,69.75,1.6
5478.TWO,2026-04-09,55,30,15,10,0,0.07,0.68,-0.61,35.8,2.31,94.28,105.83,10.8
5351.TWO,2026-04-09,55,30,10,15,0,2.05,2.82,-0.77,37.6,6.39,59.82,91.77,134.7
6874.TWO,2026-04-09,55,30,15,10,0,3.51,4.39,-0.87,44.8,3.83,80.74,99.89,17.2
6146.TWO,2026-04-09,50,30,15,5,0,1.36,2.23,-0.86,45.5,5.36,187.78,214.58,1.0
6290.TWO,2026-04-09,50,25,15,10,0,0.42,2.1,-1.68,49.2,14.25,189.0,260.25,20.0
7718.TWO,2026-04-09,50,35,10,5,0,0.38,0.56,-0.18,43.8,2.17,43.56,54.41,9.3
3413.TW,2026-04-09,45,25,15,5,0,0.17,0.84,-0.68,50.8,11.43,285.64,342.79,8.9
5864.TWO,2026-04-09,40,30,10,0,0,0.0,0.25,-0.25,28.3,0.83,21.74,25.89,0.0
3066.TWO,2026-04-09,40,25,10,5,0,0.65,0.88,-0.24,46.5,1.73,17.34,25.99,2.9
