Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
3686.TW,2026-03-02,70,30,25,15,0,0.33,0.35,-0.01,61.7,1.61,18.73,26.78,39.4
5498.TWO,2026-03-02,70,35,20,15,0,2.09,2.17,-0.08,53.0,4.96,54.98,79.78,23.2
4106.TW,2026-03-02,65,40,15,10,0,0.07,0.14,-0.07,42.9,0.33,22.24,23.89,14.2
3630.TWO,2026-03-02,65,40,15,10,0,0.68,0.75,-0.07,51.3,1.86,30.98,40.28,15.5
6026.TWO,2026-03-02,65,35,15,15,0,0.11,0.2,-0.08,38.6,0.52,13.31,15.91,229.0
6721.TWO,2026-03-02,65,40,15,10,0,0.05,0.09,-0.03,48.4,0.44,61.12,63.32,11.3
8109.TWO,2026-03-02,65,35,20,10,0,0.69,0.83,-0.14,50.0,3.11,102.78,118.33,16.9
1612.TW,2026-03-02,60,35,10,15,0,0.0,0.09,-0.09,36.1,0.88,34.24,38.64,21.9
6133.TW,2026-03-02,60,35,10,10,5,0.36,0.52,-0.16,35.4,1.37,21.16,28.01,11.7
8932.TWO,2026-02-26,60,35,10,15,0,1.9,2.24,-0.35,42.3,4.68,90.39,113.79,60.9
4130.TWO,2026-03-02,55,35,15,5,0,0.37,0.54,-0.17,58.6,1.72,28.36,36.96,1.0
4127.TWO,2026-03-02,55,30,10,15,0,0.87,1.42,-0.54,33.6,2.14,32.52,43.22,40.4
3289.TWO,2026-03-02,55,30,15,10,0,3.33,3.58,-0.25,44.4,7.11,120.28,155.83,14.3
6129.TWO,2026-03-02,55,40,10,5,0,0.11,0.14,-0.03,44.9,0.55,14.65,17.4,2.5
5425.TWO,2026-03-02,55,35,10,10,0,0.02,0.43,-0.41,33.7,2.56,56.38,69.18,13.3
5351.TWO,2026-03-02,55,35,10,10,0,0.51,0.75,-0.24,46.3,4.09,50.12,70.57,15.2
4923.TWO,2026-03-02,55,35,10,10,0,0.28,0.41,-0.13,49.6,0.98,30.84,35.74,16.8
1513.TW,2026-03-02,50,30,15,5,0,2.47,2.68,-0.21,44.0,6.5,158.5,191.0,6.3
4543.TWO,2026-03-02,50,35,10,5,0,0.08,0.22,-0.14,39.7,1.03,28.94,34.09,1.1
6492.TWO,2026-03-02,45,25,5,15,0,0.5,1.82,-1.32,33.3,3.45,43.7,60.95,32.0
5347.TWO,2026-03-02,35,25,5,5,0,2.22,3.54,-1.32,37.6,8.82,111.86,155.96,9.0
