Ticker,LastDate,MACD,Signal,Hist
6243.TW,2025-10-08,-0.36,-0.28,-0.08
6269.TW,2025-10-08,-0.68,-0.37,-0.3
6283.TW,2025-10-08,-0.49,-0.37,-0.12
6477.TW,2025-10-08,-0.41,0.26,-0.67
6573.TW,2025-10-08,0.0,0.02,-0.02
6585.TW,2025-10-08,0.03,0.1,-0.06
6689.TW,2025-10-08,-0.91,-0.75,-0.16
6743.TW,2025-10-08,-0.46,-0.17,-0.29
6756.TW,2025-10-08,-0.47,-0.44,-0.03
6792.TW,2025-10-08,-0.59,-0.48,-0.1
6885.TW,2025-10-08,-0.43,-0.37,-0.06
6916.TW,2025-10-08,-0.37,-0.35,-0.02
6931.TW,2025-10-08,0.29,0.31,-0.02
6937.TW,2025-10-08,7.98,8.98,-1.01
8011.TW,2025-10-08,-0.1,-0.06,-0.05
8201.TW,2025-10-08,-0.1,0.18,-0.28
8438.TW,2025-10-08,-0.14,-0.11,-0.02
8488.TW,2025-10-08,-0.3,-0.2,-0.09
9902.TW,2025-10-08,-0.37,-0.25,-0.12
9905.TW,2025-10-08,-0.14,-0.12,-0.02
9928.TW,2025-10-08,-0.11,-0.05,-0.05
9946.TW,2025-10-08,-0.21,-0.15,-0.06
2882A.TW,2025-10-08,0.0,0.01,-0.01
7631.TW,2025-10-08,-0.57,0.85,-1.42
1580.TWO,2025-10-08,-0.42,-0.08,-0.34
1586.TWO,2025-10-08,-0.29,-0.27,-0.02
2230.TWO,2025-10-08,-0.45,-0.07,-0.38
2641.TWO,2025-10-08,-0.01,0.13,-0.14
2734.TWO,2025-10-08,-0.11,-0.08,-0.03
2752.TWO,2025-10-08,-0.32,-0.27,-0.06
3066.TWO,2025-10-08,-0.35,-0.32,-0.03
3085.TWO,2025-10-08,-0.32,-0.28,-0.04
3115.TWO,2025-10-08,-0.13,-0.08,-0.05
3122.TWO,2025-10-08,-0.41,-0.2,-0.21
3162.TWO,2025-10-08,-0.85,-0.44,-0.41
3178.TWO,2025-10-08,-0.24,-0.0,-0.24
3234.TWO,2025-10-08,-0.7,-0.57,-0.13
3265.TWO,2025-10-08,-0.94,-0.64,-0.3
3268.TWO,2025-10-08,-0.39,-0.3,-0.09
3288.TWO,2025-10-08,-0.41,-0.4,-0.01
3306.TWO,2025-10-08,-0.49,0.13,-0.62
3322.TWO,2025-10-08,-0.06,-0.05,-0.02
3354.TWO,2025-10-08,-0.36,-0.28,-0.07
3360.TWO,2025-10-08,-0.05,-0.03,-0.02
3441.TWO,2025-10-08,-0.33,-0.17,-0.16
3455.TWO,2025-10-08,-0.93,-0.35,-0.59
3483.TWO,2025-10-08,-0.26,0.27,-0.53
3484.TWO,2025-10-08,-0.13,-0.08,-0.05
3489.TWO,2025-10-08,-0.3,-0.08,-0.22
3492.TWO,2025-10-08,-0.3,-0.24,-0.06
3498.TWO,2025-10-08,-0.04,-0.0,-0.04
3499.TWO,2025-10-08,-0.07,-0.05,-0.01
3508.TWO,2025-10-08,-0.07,-0.05,-0.02
3540.TWO,2025-10-08,-0.07,0.27,-0.33
3567.TWO,2025-10-08,0.24,0.27,-0.02
3615.TWO,2025-10-08,0.0,0.01,-0.01
3630.TWO,2025-10-08,-0.27,0.11,-0.39
3710.TWO,2025-10-08,-0.07,-0.05,-0.02
4128.TWO,2025-10-08,-0.51,-0.44,-0.07
4402.TWO,2025-10-08,-0.4,-0.2,-0.2
4416.TWO,2025-10-08,-0.49,-0.45,-0.04
4442.TWO,2025-10-08,-0.86,0.19,-1.05
4502.TWO,2025-10-08,-0.33,-0.27,-0.06
4541.TWO,2025-10-08,-0.91,-0.6,-0.32
4542.TWO,2025-10-08,-0.37,-0.36,-0.01
4903.TWO,2025-10-08,-0.55,-0.51,-0.05
4908.TWO,2025-10-08,-0.45,-0.21,-0.24
5009.TWO,2025-10-08,-0.32,-0.3,-0.02
5205.TWO,2025-10-07,-0.27,-0.25,-0.02
5245.TWO,2025-10-08,-0.78,-0.74,-0.03
5263.TWO,2025-10-08,-0.42,-0.39,-0.04
5272.TWO,2025-10-08,-0.07,-0.03,-0.04
5289.TWO,2025-10-08,15.1,16.87,-1.76
5302.TWO,2025-10-08,-0.03,-0.01,-0.02
5344.TWO,2025-10-08,-0.09,-0.09,-0.01
5452.TWO,2025-10-08,-0.34,-0.25,-0.09
5512.TWO,2025-10-08,-0.11,-0.07,-0.03
5601.TWO,2025-10-07,-0.04,-0.03,-0.01
5878.TWO,2025-10-08,-0.15,-0.12,-0.04
6023.TWO,2025-10-08,-0.07,0.03,-0.1
6113.TWO,2025-10-08,-0.47,-0.44,-0.03
6114.TWO,2025-10-08,-0.73,-0.7,-0.03
6118.TWO,2025-10-08,-0.3,-0.1,-0.2
6129.TWO,2025-10-08,-0.2,0.0,-0.2
6154.TWO,2025-10-08,-0.07,-0.05,-0.02
6195.TWO,2025-10-08,-0.06,-0.05,-0.0
6198.TWO,2025-10-08,-0.2,-0.06,-0.14
6229.TWO,2025-10-08,-0.08,0.08,-0.16
6237.TWO,2025-10-08,-0.57,-0.48,-0.09
6245.TWO,2025-10-08,-0.6,-0.03,-0.57
6246.TWO,2025-10-08,-0.35,-0.3,-0.06
6411.TWO,2025-10-08,-0.08,0.37,-0.45
6419.TWO,2025-10-08,-0.75,-0.25,-0.5
6527.TWO,2025-10-08,-0.24,-0.19,-0.05
6542.TWO,2025-10-08,-0.67,-0.63,-0.04
6560.TWO,2025-10-08,-0.14,0.02,-0.16
6569.TWO,2025-10-08,-0.83,0.1,-0.94
6570.TWO,2025-10-08,-0.0,0.35,-0.36
6664.TWO,2025-10-08,-0.28,1.88,-2.16
6733.TWO,2025-10-08,-0.12,0.13,-0.25
6823.TWO,2025-10-08,-0.43,0.46,-0.89
6840.TWO,2025-10-08,-0.05,0.69,-0.74
6913.TWO,2025-10-08,0.42,1.87,-1.45
6967.TWO,2025-10-08,-0.31,0.07,-0.39
6996.TWO,2025-10-08,-0.63,0.42,-1.06
7712.TWO,2025-10-08,-0.63,0.66,-1.29
8024.TWO,2025-10-08,-0.15,-0.13,-0.02
8059.TWO,2025-10-08,-0.15,-0.07,-0.08
8068.TWO,2025-10-08,-0.19,-0.14,-0.06
8091.TWO,2025-10-08,-0.45,0.47,-0.92
8092.TWO,2025-10-08,-0.54,-0.48,-0.06
8107.TWO,2025-10-08,-0.05,0.01,-0.06
8171.TWO,2025-10-08,-0.81,-0.8,-0.0
8240.TWO,2025-10-08,-0.84,-0.53,-0.31
8255.TWO,2025-10-08,-0.69,0.87,-1.56
8383.TWO,2025-10-08,-0.27,-0.19,-0.08
8437.TWO,2025-10-08,-0.12,-0.06,-0.06
8906.TWO,2025-10-08,-0.53,-0.26,-0.27
8908.TWO,2025-10-08,-0.03,-0.01,-0.02
