Ticker,ROI(%)
1312.TW,23.36
1605.TW,13.2
1608.TW,-2.6
1808.TW,-4.52
2031.TW,0.15
2034.TW,-12.65
2103.TW,-2.33
2362.TW,12.0
2376.TW,6.12
2491.TW,216.5
2603.TW,18.97
2605.TW,-13.32
2615.TW,36.51
2636.TW,-2.74
2753.TW,6.1
2816.TW,18.12
2908.TW,0.28
3049.TW,21.85
3135.TW,100.59
3356.TW,20.32
3504.TW,39.03
3617.TW,15.39
3714.TW,14.45
4106.TW,2.84
4912.TW,-18.74
5515.TW,23.9
6108.TW,57.91
6206.TW,39.13
6770.TW,17.93
6782.TW,11.77
6937.TW,-37.49
8103.TW,70.53
8481.TW,-4.58
1268.TWO,0.03
2065.TWO,21.13
2948.TWO,-20.5
3444.TWO,52.24
3631.TWO,27.31
4111.TWO,-0.72
4139.TWO,33.93
4735.TWO,25.52
4923.TWO,43.9
5291.TWO,5.83
5371.TWO,-7.73
5426.TWO,72.49
6530.TWO,3.37
6588.TWO,28.5
6651.TWO,32.39
6712.TWO,16.31
6716.TWO,74.45
6840.TWO,41.02
7556.TWO,59.73
