Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
1762.TW,2026-06-24,75,35,15,15,10,0.15,0.49,-0.33,49.2,1.91,34.48,44.03,87.2
2423.TW,2026-06-24,75,25,20,15,15,2.29,2.57,-0.27,50.2,3.29,71.62,88.07,27.5
3033.TW,2026-06-24,75,30,20,10,15,1.21,1.6,-0.39,51.2,2.33,45.34,56.99,19.6
3071.TWO,2026-06-24,70,40,15,15,0,0.69,0.7,-0.01,46.0,1.75,30.3,39.05,30.7
6282.TW,2026-06-24,70,30,10,15,15,1.42,1.68,-0.26,47.0,4.62,52.76,75.86,20.5
6574.TWO,2026-06-24,65,35,15,15,0,0.04,0.52,-0.48,56.0,5.68,105.64,134.04,29.5
6190.TWO,2026-06-24,65,35,20,10,0,1.27,1.5,-0.23,50.2,4.26,74.58,95.88,10.1
6996.TWO,2026-06-24,65,35,20,10,0,2.76,3.2,-0.43,50.0,8.46,180.08,222.38,15.3
6902.TW,2026-06-24,65,20,15,15,15,3.54,5.25,-1.71,41.3,8.18,121.64,162.54,26.6
8070.TW,2026-06-24,65,30,10,15,10,2.12,2.44,-0.32,46.7,3.37,51.06,67.91,20.4
6141.TW,2026-06-24,65,35,10,5,15,0.5,0.65,-0.15,46.5,2.65,33.45,46.7,2.7
1809.TW,2026-06-24,65,30,15,5,15,3.52,3.97,-0.45,47.4,4.7,44.9,68.4,2.9
6237.TWO,2026-06-24,60,35,10,15,0,0.04,0.3,-0.26,32.9,2.55,43.2,55.95,29.9
8415.TWO,2026-06-24,60,35,15,10,0,0.08,0.12,-0.04,48.3,0.63,33.84,36.99,12.5
1447.TW,2026-06-24,60,40,10,10,0,0.11,0.18,-0.07,29.0,0.3,5.59,7.09,16.3
6491.TW,2026-06-24,60,30,20,10,0,5.33,6.04,-0.71,50.9,9.11,307.78,353.33,18.3
4995.TWO,2026-06-24,60,35,15,10,0,0.53,0.66,-0.13,42.3,1.04,43.67,48.87,10.6
5215.TW,2026-06-24,60,35,10,15,0,0.2,0.55,-0.34,26.9,1.82,40.86,49.96,28.3
2236.TW,2026-06-24,60,35,15,10,0,0.03,0.29,-0.26,43.2,4.79,125.92,149.87,18.7
2908.TW,2026-06-24,60,40,15,5,0,0.14,0.16,-0.01,46.5,0.35,20.4,22.15,9.9
5543.TWO,2026-06-24,60,40,5,15,0,0.02,0.12,-0.1,45.3,0.9,27.55,32.05,24.7
8932.TWO,2026-06-24,60,30,20,10,0,1.23,1.43,-0.2,58.8,5.47,93.56,120.91,16.8
6509.TWO,2026-06-24,55,35,15,5,0,0.23,0.46,-0.23,45.8,2.08,44.49,54.89,5.3
1525.TW,2026-06-24,55,35,15,5,0,0.39,0.71,-0.33,38.9,1.72,62.36,70.96,1.7
3287.TWO,2026-06-24,55,35,10,10,0,0.34,0.73,-0.39,36.2,1.42,31.01,38.11,11.4
6506.TWO,2026-06-24,55,35,15,5,0,0.0,0.13,-0.13,18.0,0.5,17.75,20.25,9.8
3141.TWO,2026-06-24,55,30,20,5,0,2.6,3.2,-0.59,50.2,4.5,66.8,89.3,8.6
2464.TW,2026-06-24,55,25,10,5,15,9.65,10.53,-0.89,49.5,13.0,148.5,213.5,7.9
3332.TWO,2026-06-24,55,35,10,10,0,0.02,0.21,-0.19,47.4,2.71,59.48,73.03,19.6
1583.TW,2026-06-24,50,35,10,5,0,0.12,0.54,-0.42,33.3,1.96,46.98,56.78,7.9
2070.TWO,2026-06-24,50,35,10,5,0,0.77,1.03,-0.26,49.5,3.12,60.56,76.16,8.2
6206.TW,2026-06-24,50,25,15,10,0,0.79,2.13,-1.34,33.8,5.71,119.08,147.63,11.0
6161.TWO,2026-06-24,50,30,10,10,0,0.55,1.2,-0.65,36.2,2.13,47.84,58.49,16.3
3191.TWO,2026-06-24,45,35,5,5,0,0.6,0.89,-0.3,44.5,1.11,17.68,23.23,1.9
6020.TWO,2026-06-24,45,35,10,0,0,0.25,0.42,-0.17,23.2,0.88,20.94,25.34,0.0
8299.TWO,2026-06-24,45,20,10,15,0,28.81,30.2,-1.38,43.8,166.79,2166.42,3000.37,196.0
