Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2449.TW,2026-02-11,80,20,30,15,15,11.86,12.43,-0.57,65.7,16.57,280.36,363.21,32.0
6015.TWO,2026-02-11,75,40,20,15,0,0.38,0.47,-0.09,55.8,0.69,12.12,15.57,80.9
6020.TWO,2026-02-11,75,40,20,15,0,0.01,0.04,-0.03,50.0,0.28,18.64,20.04,159.2
6005.TW,2026-02-11,70,35,20,15,0,0.7,0.84,-0.14,56.8,1.01,27.28,32.33,29.2
1312A.TW,2026-02-11,70,40,20,10,0,0.03,0.09,-0.06,52.8,0.23,22.29,23.44,12.0
6776.TW,2026-02-11,65,35,15,15,0,0.94,1.39,-0.45,40.8,2.51,53.88,66.43,26.7
8271.TW,2026-02-11,65,30,15,15,5,0.49,0.94,-0.46,50.0,8.18,101.64,142.54,69.9
1718.TW,2026-02-11,65,40,15,10,0,0.0,0.02,-0.02,49.7,0.21,6.67,7.72,11.0
6016.TWO,2026-02-11,65,30,20,15,0,0.49,0.59,-0.1,50.6,0.75,14.9,18.65,256.0
3532.TW,2026-02-11,60,20,20,5,15,7.15,8.18,-1.03,59.4,9.96,128.08,177.88,1.3
6126.TWO,2026-02-11,60,35,20,5,0,1.35,1.45,-0.1,57.7,1.55,36.0,43.75,2.2
6217.TWO,2026-02-11,60,30,20,10,0,2.16,2.31,-0.15,53.6,4.46,55.18,77.48,12.8
6525.TW,2026-02-11,60,35,15,10,0,0.6,0.72,-0.12,42.9,1.78,76.04,84.94,16.4
3031.TW,2026-02-11,60,40,15,5,0,0.0,0.07,-0.06,45.3,0.61,18.78,21.83,5.7
2413.TW,2026-02-11,60,30,10,15,5,0.2,0.94,-0.74,46.3,3.55,34.4,52.15,21.5
1612.TW,2026-02-11,60,35,10,15,0,0.04,0.25,-0.21,28.6,0.96,33.78,38.58,21.9
5302.TWO,2026-02-11,60,35,10,15,0,0.21,0.36,-0.16,39.3,0.77,9.86,13.71,62.5
2303.TW,2026-02-11,55,25,10,5,15,1.77,2.79,-1.03,42.6,4.02,54.76,74.86,2.4
6624.TWO,2026-02-11,55,35,15,5,0,0.67,0.84,-0.17,56.9,1.65,61.7,69.95,1.3
3374.TWO,2026-02-11,55,25,20,10,0,1.56,3.19,-1.63,52.7,8.93,158.14,202.79,14.2
3481.TW,2026-02-11,55,30,5,5,15,0.39,0.92,-0.53,34.9,1.69,18.57,27.02,4.2
6129.TWO,2026-02-11,50,35,10,5,0,0.06,0.24,-0.18,24.4,0.82,13.46,17.56,2.5
2356.TW,2026-02-11,50,35,10,5,0,0.11,0.23,-0.12,25.7,1.94,41.47,51.17,7.6
6257.TW,2026-02-11,50,25,15,5,5,2.0,3.68,-1.68,38.5,5.39,116.72,143.67,5.8
6417.TWO,2026-02-11,50,30,15,5,0,0.06,0.64,-0.58,29.6,2.54,103.42,116.12,6.3
4543.TWO,2026-02-11,50,35,10,5,0,0.12,0.53,-0.41,22.7,1.15,28.0,33.75,1.1
3265.TWO,2026-02-11,45,25,15,5,0,2.73,4.67,-1.94,44.6,7.04,120.92,156.12,9.3
2645.TW,2026-02-11,45,25,10,10,0,2.35,3.43,-1.09,40.6,6.93,150.64,185.29,11.4
6182.TWO,2026-02-11,45,30,10,5,0,0.02,0.68,-0.66,29.8,1.91,30.28,39.83,7.1
4130.TWO,2026-02-11,45,30,10,5,0,0.67,0.84,-0.17,40.9,1.51,28.98,36.53,1.0
6753.TW,2026-02-11,40,25,5,10,0,0.84,2.01,-1.16,44.5,7.93,129.14,168.79,18.9
5351.TWO,2026-02-11,40,25,5,10,0,0.2,1.36,-1.16,42.6,4.58,46.54,69.44,15.2
