Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2850.TW,2026-07-14,70,35,25,10,0,2.37,2.62,-0.26,61.0,2.46,140.58,152.88,11.2
2450.TW,2026-07-14,65,40,15,10,0,0.01,0.05,-0.04,43.3,0.24,28.37,29.57,15.1
6870.TWO,2026-07-14,65,30,20,15,0,9.57,10.13,-0.56,58.8,18.86,261.78,356.08,35.4
8284.TWO,2026-07-14,65,40,20,5,0,0.33,0.41,-0.08,50.4,1.0,59.6,64.6,8.9
2459.TW,2026-07-14,65,40,20,5,0,0.01,0.05,-0.03,50.0,0.72,62.56,66.16,6.4
2221.TWO,2026-07-14,65,35,20,10,0,1.3,1.46,-0.17,51.5,2.28,45.29,56.69,14.8
2546.TW,2026-07-14,60,35,20,5,0,0.78,1.18,-0.4,56.4,1.4,91.0,98.0,8.6
1342.TW,2026-07-14,60,30,20,10,0,2.44,2.93,-0.49,53.8,4.11,109.28,129.83,17.8
2535.TW,2026-07-14,60,30,15,15,0,0.66,1.64,-0.97,26.4,2.19,83.32,94.27,55.6
2382.TW,2026-07-14,60,25,20,15,0,5.2,5.89,-0.68,57.8,9.5,361.0,408.5,66.6
7713.TWO,2026-07-14,60,35,15,10,0,0.13,0.25,-0.12,34.8,0.54,69.52,72.22,13.8
1307.TW,2026-07-14,55,35,15,5,0,0.1,0.28,-0.18,39.6,0.9,30.7,35.2,0.7
2881.TW,2026-07-14,55,25,15,15,0,3.04,4.12,-1.08,40.9,4.42,116.16,138.26,175.6
2618.TW,2026-07-14,55,30,15,10,0,0.96,1.34,-0.38,41.4,1.24,38.32,44.52,10.1
6166.TW,2026-07-14,50,25,10,15,0,1.48,3.24,-1.76,27.8,8.19,116.12,157.07,28.7
4807.TW,2026-07-14,50,25,15,10,0,1.7,2.06,-0.36,46.0,2.5,36.65,49.15,17.0
2882.TW,2026-07-14,50,25,10,15,0,0.94,2.11,-1.18,28.8,3.61,88.88,106.93,94.2
7715.TWO,2026-07-14,50,35,15,0,0,1.39,1.54,-0.15,44.2,2.06,32.08,42.38,0.0
