Ticker,ROI(%)
1447.TW,-1.15
1525.TW,-6.74
1583.TW,-2.32
1762.TW,16.42
1809.TW,64.88
2236.TW,1.57
2423.TW,50.38
2464.TW,83.32
2908.TW,4.18
3033.TW,35.88
5215.TW,10.82
6141.TW,77.05
6206.TW,26.26
6282.TW,14.06
6491.TW,0.74
6902.TW,48.63
8070.TW,18.11
2070.TWO,42.41
3071.TWO,-7.82
3141.TWO,34.64
3191.TWO,22.56
3287.TWO,8.72
3332.TWO,0.47
4995.TWO,-2.94
5543.TWO,6.68
6020.TWO,1.12
6161.TWO,23.95
6190.TWO,31.32
6237.TWO,-1.93
6506.TWO,0.43
6509.TWO,19.02
6574.TWO,35.0
6996.TWO,-4.55
8299.TWO,8.62
8415.TWO,-0.91
8932.TWO,14.31
