Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
3057.TW,2026-05-29,70,40,10,15,5,0.34,0.35,-0.01,41.1,0.98,18.49,23.39,24.1
5351.TWO,2026-05-29,70,35,20,15,0,3.04,3.07,-0.03,57.6,6.01,74.18,104.23,336.2
2891B.TW,2026-05-29,65,40,15,10,0,0.01,0.03,-0.02,42.9,0.3,63.9,65.4,18.9
2451.TW,2026-05-29,60,20,15,15,10,14.18,15.64,-1.46,47.9,18.39,301.22,393.17,356.9
3303.TWO,2026-05-29,55,35,15,5,0,0.19,0.38,-0.19,36.3,1.25,46.85,53.1,3.9
6829.TWO,2026-05-29,50,25,10,15,0,4.3,6.01,-1.7,49.1,13.32,196.86,263.46,41.6
6108.TW,2026-05-29,50,35,10,5,0,0.32,0.38,-0.07,48.9,0.82,18.26,22.36,5.2
6881.TWO,2026-05-29,45,20,15,10,0,4.16,5.46,-1.3,45.7,2.14,266.22,276.92,11.9
5904.TWO,2026-05-29,45,20,15,10,0,6.72,8.18,-1.46,49.1,18.0,539.0,629.0,12.7
9960.TWO,2026-05-29,45,30,10,5,0,0.2,0.9,-0.7,17.2,0.99,28.02,32.97,2.8
1711.TW,2026-05-29,40,25,5,5,5,0.16,0.97,-0.81,33.0,3.0,43.1,58.1,5.4
