Ticker,ROI(%)
1521.TW,9.81
1727.TW,68.92
1773.TW,14.02
2303.TW,129.38
2330.TW,5.38
2369.TW,0.46
2423.TW,54.02
2441.TW,11.29
2453.TW,-3.32
2458.TW,20.83
2465.TW,13.14
2488.TW,-0.92
3028.TW,34.46
3229.TW,35.85
3356.TW,17.87
3481.TW,237.29
4555.TW,23.19
4764.TW,59.54
5215.TW,10.35
5434.TW,2.71
6116.TW,53.5
6166.TW,44.88
6213.TW,39.49
6446.TW,99.18
6579.TW,25.03
6695.TW,-2.26
6756.TW,3.26
6770.TW,-20.85
6792.TW,22.74
8039.TW,16.11
8110.TW,-15.81
8499.TW,-43.62
2070.TWO,58.09
3105.TWO,16.85
3141.TWO,18.08
3162.TWO,16.85
3211.TWO,-16.7
3293.TWO,0.28
3707.TWO,19.98
4111.TWO,-5.39
4127.TWO,119.55
4163.TWO,5.31
5236.TWO,17.37
5464.TWO,140.58
5490.TWO,0.36
5523.TWO,1.34
6020.TWO,2.28
6101.TWO,-5.02
6411.TWO,25.19
6506.TWO,0.75
6509.TWO,31.19
6651.TWO,62.09
6716.TWO,74.48
7556.TWO,49.36
7712.TWO,44.47
8086.TWO,-20.59
8383.TWO,31.94
9960.TWO,44.3
