Ticker,ROI(%)
2241.TW,30.65
2302.TW,-7.32
2375.TW,17.59
2428.TW,6.07
2441.TW,20.94
2478.TW,3.26
2492.TW,21.86
2535.TW,10.5
2546.TW,3.28
2855.TW,0.74
3002.TW,35.11
3028.TW,11.18
3543.TW,71.56
3711.TW,38.27
4739.TW,-13.97
5521.TW,41.45
6257.TW,4.53
6531.TW,-16.48
6770.TW,39.43
8070.TW,-8.86
8131.TW,36.7
1815.TWO,89.88
3264.TWO,6.62
4417.TWO,12.47
4760.TWO,28.92
4950.TWO,3.38
6021.TWO,8.06
6026.TWO,0.93
6265.TWO,30.61
6284.TWO,7.38
6290.TWO,54.22
6654.TWO,10.68
6693.TWO,21.26
6721.TWO,-2.29
6803.TWO,4.28
8077.TWO,4.21
8358.TWO,185.27
8924.TWO,25.18
8936.TWO,20.37
