Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2881.TW,2026-07-23,75,30,30,15,0,2.18,2.69,-0.51,65.3,3.71,121.08,139.63,175.6
2882.TW,2026-07-23,70,35,20,15,0,0.3,0.73,-0.43,62.1,2.67,91.96,105.31,94.2
2882B.TW,2026-07-23,70,40,15,15,0,0.02,0.03,-0.0,47.1,0.28,58.24,59.64,94.2
2432.TW,2026-07-23,70,40,15,15,0,0.34,0.41,-0.07,48.4,0.41,27.68,29.73,25.8
2887F.TW,2026-07-23,70,40,15,15,0,0.14,0.15,-0.02,47.4,0.15,45.7,46.45,274.7
2883B.TW,2026-07-23,70,35,20,15,0,0.03,0.03,-0.0,56.3,0.03,7.96,8.11,150.5
2535.TW,2026-07-23,65,35,15,15,0,0.04,0.44,-0.4,47.3,2.01,84.48,94.53,55.6
3033.TW,2026-07-23,65,35,20,10,0,0.35,0.56,-0.21,50.3,2.6,45.3,58.3,19.6
2945.TW,2026-07-23,65,40,15,10,0,0.17,0.18,-0.02,46.7,0.73,40.09,43.74,10.5
1593.TWO,2026-07-23,65,40,15,10,0,0.05,0.07,-0.02,46.3,0.37,29.56,31.41,10.2
3402.TWO,2026-07-23,60,35,15,10,0,0.97,1.41,-0.44,45.1,7.49,128.02,165.47,10.6
3628.TWO,2026-07-23,60,35,15,10,0,0.09,0.4,-0.31,34.6,2.47,64.96,77.31,15.2
4702.TWO,2026-07-23,60,40,15,5,0,0.01,0.04,-0.03,45.3,0.15,9.32,10.07,5.2
6115.TW,2026-07-23,60,40,15,5,0,0.06,0.07,-0.01,46.8,0.62,44.51,47.61,3.4
2480.TW,2026-07-23,55,30,15,10,0,2.09,2.77,-0.68,49.1,4.39,150.22,172.17,17.1
9960.TWO,2026-07-23,55,35,15,5,0,0.22,0.33,-0.1,43.0,0.81,31.43,35.48,2.8
1342.TW,2026-07-23,55,30,15,10,0,1.41,2.05,-0.64,45.1,3.75,105.5,124.25,17.8
6259.TWO,2026-07-23,50,25,10,15,0,0.5,1.38,-0.88,37.3,3.15,28.45,44.2,51.5
3290.TWO,2026-07-23,50,25,10,15,0,0.56,1.91,-1.35,30.4,3.52,54.26,71.86,83.7
2415.TW,2026-07-23,50,30,10,10,0,0.66,1.3,-0.63,39.7,2.16,30.13,40.93,14.5
5471.TW,2026-07-23,50,25,10,15,0,0.1,1.25,-1.16,41.9,3.86,49.18,68.48,23.9
3617.TW,2026-07-23,50,25,20,5,0,1.06,2.27,-1.2,54.0,9.86,196.78,246.08,2.2
2838A.TW,2026-07-23,50,30,15,5,0,0.04,0.06,-0.02,37.5,0.18,51.64,52.54,9.6
4163.TWO,2026-07-23,50,30,15,5,0,1.23,2.14,-0.91,43.1,5.21,114.08,140.13,1.7
2066.TWO,2026-07-23,45,30,10,5,0,0.1,0.89,-0.79,29.9,1.93,59.34,68.99,4.0
2243.TW,2026-07-23,45,20,10,15,0,2.56,3.73,-1.17,27.8,3.99,46.42,66.37,179.4
5328.TWO,2026-07-23,45,25,10,10,0,2.41,4.32,-1.91,33.1,6.39,54.22,86.17,12.9
6432.TWO,2026-07-23,45,30,10,5,0,0.06,1.05,-0.99,37.5,4.69,63.02,86.47,2.3
2302.TW,2026-07-23,40,25,5,10,0,0.26,1.48,-1.22,30.6,3.65,35.15,53.4,11.8
1708.TW,2026-07-23,40,25,10,5,0,1.3,2.31,-1.01,25.4,2.64,48.62,61.82,2.3
6156.TWO,2026-07-23,40,30,5,5,0,0.11,0.86,-0.75,20.8,1.55,20.7,28.45,0.9
