Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2302.TW,2025-11-14,75,40,15,5,15,0.25,0.33,-0.08,42.0,0.8,17.55,21.55,6.4
6603.TWO,2025-11-14,70,40,20,10,0,0.45,0.53,-0.08,54.3,0.81,18.43,22.48,18.1
6914.TW,2025-11-14,65,25,15,15,10,0.91,1.42,-0.51,49.2,3.82,144.36,163.46,28.3
6126.TWO,2025-11-14,65,35,25,5,0,0.67,0.75,-0.08,61.5,0.96,29.48,34.28,2.2
2472.TW,2025-11-14,60,25,15,5,15,2.61,3.58,-0.97,35.8,6.06,91.88,122.18,6.4
1903.TW,2025-11-14,60,40,5,5,10,0.24,0.25,-0.01,45.1,1.98,51.84,61.74,2.2
3189.TW,2025-11-14,60,15,15,15,15,2.38,3.4,-1.01,39.0,6.64,123.72,156.92,26.3
1773.TW,2025-11-14,55,30,20,5,0,0.12,0.36,-0.23,54.8,3.25,135.5,151.75,1.5
5439.TWO,2025-11-14,55,25,15,15,0,2.49,3.23,-0.74,56.4,20.43,276.14,378.29,128.3
6492.TWO,2025-11-14,55,30,10,15,0,0.41,1.02,-0.62,34.7,2.23,38.44,49.59,32.0
3221.TWO,2025-11-14,50,35,10,5,0,0.01,0.18,-0.17,45.1,1.07,19.76,25.11,0.4
6284.TWO,2025-11-14,45,30,15,0,0,2.23,2.83,-0.61,48.2,3.21,77.48,93.53,0.0
8279.TWO,2025-11-14,45,25,15,5,0,0.62,1.33,-0.71,44.7,2.93,124.14,138.79,1.4
