Ticker,ROI(%)
2305.TW,33.05
2402.TW,39.81
2471.TW,-17.32
2472.TW,23.27
2484.TW,65.15
2493.TW,-6.44
2637.TW,-3.76
2645.TW,-2.09
2891.TW,6.66
3023.TW,17.03
3413.TW,-12.7
4739.TW,-5.9
6168.TW,0.95
6257.TW,17.98
6277.TW,5.72
6438.TW,8.0
6449.TW,-15.89
7610.TW,148.23
2640.TWO,34.32
3339.TWO,61.21
3663.TWO,-8.19
3689.TWO,-4.01
4527.TWO,2.88
4721.TWO,10.52
4905.TWO,-10.73
6134.TWO,9.78
6227.TWO,5.06
6292.TWO,-10.05
6530.TWO,27.23
6588.TWO,164.78
6693.TWO,41.91
7709.TWO,85.72
8096.TWO,25.35
8289.TWO,20.04
