Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
1726.TW,2026-08-13,75,40,30,5,0,0.58,0.59,-0.01,67.9,0.96,76.08,80.88,4.2
2890.TW,2026-08-13,75,40,20,15,0,0.63,0.73,-0.1,59.6,1.02,37.91,43.01,39.2
2887.TW,2026-08-13,75,40,20,15,0,0.9,0.95,-0.05,59.2,1.26,33.68,39.98,274.7
2883.TW,2026-08-13,75,40,20,15,0,0.63,0.64,-0.01,55.9,0.98,29.54,34.44,150.5
6951.TW,2026-08-13,75,40,20,15,0,0.31,0.31,-0.0,51.0,0.66,70.78,74.08,23.3
3266.TW,2026-08-13,75,35,25,15,0,0.2,0.2,-0.01,64.3,0.22,13.56,14.66,102.7
1419.TW,2026-08-13,70,35,20,15,0,0.08,0.19,-0.11,50.1,1.52,61.86,69.46,36.6
2801.TW,2026-08-13,70,40,20,10,0,0.33,0.39,-0.06,58.9,0.5,22.55,25.05,14.0
2887F.TW,2026-08-13,70,40,15,15,0,0.03,0.05,-0.02,33.3,0.08,45.64,46.04,274.7
2887E.TW,2026-08-13,65,35,15,15,0,0.01,0.02,-0.01,47.6,0.17,48.36,49.21,274.7
2908.TW,2026-08-13,60,35,20,5,0,0.08,0.11,-0.03,55.0,0.43,21.04,23.19,9.9
1730.TW,2026-08-13,60,35,20,5,0,0.15,0.16,-0.01,50.0,0.46,50.58,52.88,7.3
3479.TWO,2026-08-13,55,35,10,10,0,0.59,0.9,-0.31,35.1,7.39,124.72,161.67,11.0
5434.TW,2026-08-13,55,30,10,15,0,2.26,2.8,-0.54,42.4,24.39,478.22,600.17,22.6
2634.TW,2026-08-13,50,35,10,5,0,1.24,1.57,-0.33,47.3,2.98,58.24,73.14,0.6
6957.TW,2026-08-13,50,25,10,15,0,2.48,4.06,-1.58,40.7,8.59,199.32,242.27,28.7
6505.TW,2026-08-13,45,25,5,15,0,0.89,2.12,-1.22,22.8,4.24,61.32,82.52,25.7
9931.TW,2026-08-13,45,40,0,5,0,0.09,0.12,-0.03,40.0,0.35,33.15,34.9,2.1
3374.TWO,2026-08-13,45,25,5,15,0,0.78,1.5,-0.72,41.3,26.61,271.78,404.83,42.2
4442.TWO,2026-08-13,35,25,5,5,0,0.22,1.32,-1.1,41.8,4.64,44.22,67.42,6.5
