Ticker,ROI(%)
1514.TW,16.88
1525.TW,-4.97
1560.TW,25.54
1583.TW,-2.32
1762.TW,15.72
1809.TW,55.01
2236.TW,1.57
2301.TW,2.13
2423.TW,50.38
2850.TW,21.45
2908.TW,4.18
3033.TW,35.88
3229.TW,48.26
4555.TW,25.6
5215.TW,10.82
6141.TW,77.05
6206.TW,23.44
6282.TW,14.06
6491.TW,-3.6
8070.TW,16.74
5871A.TW,-2.9
2070.TWO,42.41
3071.TWO,-7.82
3141.TWO,25.53
3191.TWO,22.56
3287.TWO,8.72
3332.TWO,-1.98
3467.TWO,25.63
3684.TWO,-19.8
4711.TWO,-2.21
4995.TWO,-4.25
5488.TWO,9.51
6015.TWO,11.45
6016.TWO,24.45
6020.TWO,2.28
6161.TWO,23.95
6190.TWO,28.17
6506.TWO,0.43
6509.TWO,31.19
6996.TWO,-4.55
7713.TWO,-8.52
8064.TWO,118.49
8077.TWO,6.92
8390.TWO,-0.66
8416.TWO,-6.87
