Ticker,ROI(%)
1232.TW,-1.96
1727.TW,56.74
1762.TW,9.36
1809.TW,58.07
2114.TW,3.31
2248.TW,-1.0
2301.TW,0.57
2353.TW,5.13
2356.TW,33.86
2395.TW,61.49
2420.TW,2.0
2423.TW,50.38
2441.TW,-2.99
2459.TW,-3.03
2471.TW,-5.66
2597.TW,5.58
3004.TW,-16.4
3033.TW,34.41
3048.TW,53.48
3231.TW,0.9
4555.TW,21.94
4764.TW,68.7
6005.TW,21.94
6115.TW,0.47
6196.TW,3.76
6214.TW,-0.22
6282.TW,9.52
6579.TW,24.46
6606.TW,-2.29
6792.TW,12.65
6902.TW,48.63
8163.TW,45.17
9934.TW,0.14
2891C.TW,2.99
6951.TW,-6.72
3071.TWO,-7.82
3268.TWO,-9.42
3511.TWO,23.46
3675.TWO,19.24
4127.TWO,120.67
4207.TWO,15.7
4534.TWO,51.24
4711.TWO,-1.88
4995.TWO,-2.94
5228.TWO,73.71
5490.TWO,0.54
5493.TWO,-17.33
5864.TWO,25.92
6016.TWO,24.45
6020.TWO,1.12
6026.TWO,0.56
6161.TWO,19.17
6174.TWO,75.75
6227.TWO,44.24
6290.TWO,35.96
6419.TWO,39.54
6642.TWO,40.76
6788.TWO,15.58
6870.TWO,30.22
8042.TWO,29.12
8064.TWO,129.24
8077.TWO,1.22
