Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
6023.TWO,2026-06-16,75,40,20,15,0,0.19,0.24,-0.06,53.3,1.61,96.28,104.33,44.0
2353.TW,2026-06-16,70,40,20,10,0,2.29,2.37,-0.08,64.6,2.61,33.68,46.73,18.1
2908.TW,2026-06-16,70,40,25,5,0,0.17,0.19,-0.02,61.3,0.3,20.6,22.1,9.9
6101.TWO,2026-06-16,70,40,15,15,0,0.24,0.29,-0.05,49.3,1.39,37.67,44.62,564.0
4111.TWO,2026-06-16,70,40,20,10,0,0.03,0.06,-0.03,50.0,0.28,29.44,30.84,11.6
2337.TW,2026-06-16,70,35,20,15,0,0.4,0.5,-0.11,55.7,10.57,145.36,198.21,70.6
9960.TWO,2026-06-16,70,40,25,5,0,0.28,0.29,-0.01,63.8,0.93,30.14,34.79,2.8
3131.TWO,2026-06-16,65,35,15,15,0,58.41,58.71,-0.3,46.3,231.43,2852.14,4009.29,75.9
2061.TWO,2026-06-16,65,35,25,5,0,4.26,4.36,-0.11,62.9,3.4,36.9,53.9,6.9
5351.TWO,2026-06-16,65,25,25,15,0,3.02,3.13,-0.11,61.4,6.54,77.52,110.22,336.2
1268.TWO,2026-06-16,65,35,20,10,0,2.05,2.46,-0.4,53.8,2.07,165.36,175.71,14.6
8088.TWO,2026-06-16,65,35,15,15,0,1.79,1.91,-0.11,54.0,3.91,55.58,75.13,72.8
5523.TWO,2026-06-16,65,40,20,5,0,0.03,0.04,-0.01,50.0,0.18,30.09,30.99,0.4
5490.TWO,2026-06-16,65,40,20,5,0,0.22,0.3,-0.08,52.7,0.9,27.3,31.8,4.7
5864.TWO,2026-06-16,65,35,30,0,0,4.41,4.43,-0.01,67.4,3.54,42.87,60.57,0.0
3535.TW,2026-06-16,65,35,15,15,0,0.29,0.72,-0.44,53.3,8.36,111.28,153.08,539.0
2369.TW,2026-06-16,60,35,10,15,0,0.41,0.69,-0.28,34.7,2.4,29.95,41.95,39.6
8383.TWO,2026-06-16,60,35,10,15,0,0.32,0.39,-0.08,49.8,3.18,53.74,69.64,23.6
