Ticker,ROI(%)
1513.TW,2.47
1514.TW,16.88
1521.TW,10.97
1525.TW,-4.97
1583.TW,-2.32
1608.TW,-28.76
1612.TW,-3.82
1727.TW,49.49
1762.TW,14.4
1773.TW,-1.18
1809.TW,27.44
2303.TW,132.59
2313.TW,72.89
2355.TW,5.11
2356.TW,37.6
2369.TW,0.46
2420.TW,1.7
2423.TW,54.02
2428.TW,27.84
2441.TW,5.02
2453.TW,-1.67
2465.TW,19.95
2476.TW,25.8
2481.TW,3.26
2486.TW,91.07
3006.TW,88.29
3028.TW,34.46
3229.TW,36.57
3231.TW,3.64
3356.TW,17.77
3416.TW,-4.96
3673.TW,54.91
3706.TW,-8.75
4106.TW,3.17
4555.TW,21.94
4766.TW,-12.37
4967.TW,14.39
5215.TW,10.82
5285.TW,88.3
5434.TW,3.91
6116.TW,58.69
6206.TW,23.75
6456.TW,34.65
6526.TW,8.39
6579.TW,25.03
6695.TW,-0.35
6719.TW,35.15
6756.TW,2.96
6770.TW,-20.85
6792.TW,12.65
8016.TW,48.89
8039.TW,26.66
8110.TW,-15.81
2070.TWO,42.41
3066.TWO,13.14
3088.TWO,74.34
3141.TWO,25.53
3162.TWO,16.85
3211.TWO,-16.7
3265.TWO,-0.9
3293.TWO,0.28
3317.TWO,68.69
3332.TWO,-9.64
3467.TWO,46.4
3479.TWO,28.81
3537.TWO,22.57
3707.TWO,25.8
4111.TWO,-4.26
4163.TWO,18.72
4580.TWO,-7.42
5464.TWO,146.2
5474.TWO,-15.48
5488.TWO,7.3
5490.TWO,2.42
5523.TWO,1.84
6020.TWO,2.28
6138.TWO,49.75
6161.TWO,22.49
6190.TWO,29.42
6411.TWO,25.19
6435.TWO,47.79
6506.TWO,0.43
6509.TWO,31.19
6642.TWO,41.84
6690.TWO,-3.74
6716.TWO,75.93
6922.TWO,-15.87
7556.TWO,49.81
8109.TWO,15.86
8354.TWO,-18.97
