Ticker,ROI(%)
1720.TW,8.51
2022.TW,-3.24
2449.TW,18.07
2460.TW,12.76
2484.TW,16.92
2535.TW,12.0
2883.TW,13.2
2885.TW,10.97
2890.TW,10.21
2891.TW,10.15
3138.TW,18.27
3504.TW,-8.09
4137.TW,1.82
5234.TW,12.1
6133.TW,-1.94
6257.TW,-1.65
6655.TW,10.51
6792.TW,-2.33
8081.TW,6.37
8112A.TW,3.2
3289.TWO,-5.07
3360.TWO,-9.64
3374.TWO,-6.17
3526.TWO,2.41
3556.TWO,3.55
3684.TWO,14.04
3709.TWO,-9.5
4987.TWO,17.78
5864.TWO,42.18
6015.TWO,2.4
6109.TWO,-23.18
6134.TWO,1.9
6494.TWO,13.33
6584.TWO,43.69
7709.TWO,55.27
8074.TWO,32.07
