Ticker,ROI(%)
1326.TW,19.19
1533.TW,-0.41
1773.TW,11.39
2027.TW,1.7
2032.TW,-1.79
2302.TW,72.96
2355.TW,16.31
2369.TW,0.46
2401.TW,-0.03
2408.TW,96.47
2423.TW,46.62
2476.TW,22.3
2488.TW,-2.11
3016.TW,64.24
3025.TW,-16.04
3028.TW,32.39
3168.TW,-7.93
3356.TW,17.87
3416.TW,-7.43
3481.TW,226.05
4766.TW,-15.08
5434.TW,2.71
6133.TW,-21.75
6277.TW,8.05
6579.TW,26.77
6695.TW,-5.49
6756.TW,-0.18
8039.TW,25.69
8110.TW,14.12
2070.TWO,57.1
2221.TWO,14.76
3162.TWO,26.68
3264.TWO,98.01
3317.TWO,57.63
3402.TWO,-4.71
3467.TWO,46.59
3707.TWO,22.7
4111.TWO,-3.28
4207.TWO,
4995.TWO,
5220.TWO,
5347.TWO,
5351.TWO,
5464.TWO,
5483.TWO,
5490.TWO,
5543.TWO,
6020.TWO,
6134.TWO,
6151.TWO,
6161.TWO,
6182.TWO,
6190.TWO,
6237.TWO,
6265.TWO,
6292.TWO,
6411.TWO,
6498.TWO,
6667.TWO,
7556.TWO,
7704.TWO,
8088.TWO,
8109.TWO,
8383.TWO,
8415.TWO,
8455.TWO,
9960.TWO,
