Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2376.TW,2026-07-15,70,40,15,15,0,0.07,0.09,-0.02,56.2,10.68,322.64,376.04,59.8
6870.TWO,2026-07-15,70,35,20,15,0,10.0,10.1,-0.11,59.9,18.5,267.5,360.0,35.4
4538.TWO,2026-07-15,70,40,15,15,0,0.07,0.14,-0.07,28.6,0.32,17.96,19.56,28.0
2945.TW,2026-07-15,65,40,15,10,0,0.24,0.27,-0.03,47.9,0.82,39.96,44.06,10.5
7713.TWO,2026-07-15,65,40,15,10,0,0.12,0.22,-0.1,39.1,0.52,69.66,72.26,13.8
2850.TW,2026-07-15,65,30,25,10,0,2.56,2.61,-0.05,64.4,2.54,143.42,156.12,11.2
2450.TW,2026-07-15,60,35,15,10,0,0.01,0.04,-0.03,43.3,0.26,28.48,29.78,15.1
2535.TW,2026-07-15,60,30,15,15,0,0.52,1.41,-0.89,25.4,2.15,83.8,94.55,55.6
4706.TWO,2026-07-15,55,35,15,5,0,0.07,0.07,-0.01,33.3,0.54,31.42,34.12,8.3
1307.TW,2026-07-15,55,35,15,5,0,0.08,0.24,-0.16,43.7,0.88,30.64,35.04,0.7
2881.TW,2026-07-15,55,25,15,15,0,3.13,3.92,-0.8,44.9,4.46,119.58,141.88,175.6
2882.TW,2026-07-15,50,25,10,15,0,0.83,1.86,-1.03,25.8,3.53,89.54,107.19,94.2
7715.TWO,2026-07-15,50,30,20,0,0,1.47,1.53,-0.05,55.3,1.9,33.2,42.7,0.0
3285.TWO,2026-07-15,45,25,5,15,0,0.5,1.75,-1.25,38.1,2.56,34.88,47.68,60.0
6021.TWO,2026-07-15,35,25,10,0,0,0.04,0.43,-0.39,41.9,1.41,36.58,43.63,0.0
