Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2851.TW,2026-07-03,100,40,30,15,15,1.06,1.07,-0.01,65.4,1.17,36.11,41.96,58.3
2441.TW,2026-07-03,95,35,30,15,15,5.65,5.79,-0.14,66.4,7.25,127.5,163.75,21.2
2241.TW,2026-07-03,90,35,25,15,15,2.7,3.02,-0.33,60.2,3.1,41.4,56.9,23.9
1762.TW,2026-07-03,85,40,25,15,5,0.11,0.18,-0.06,66.5,1.17,35.36,41.21,87.2
2414.TW,2026-07-03,85,35,20,15,15,2.2,2.59,-0.39,51.1,1.94,57.62,67.32,29.2
6197.TW,2026-07-03,85,25,30,15,15,23.06,24.27,-1.21,68.4,17.46,337.58,424.88,21.1
5215.TW,2026-07-03,85,40,30,15,0,0.02,0.05,-0.03,66.9,1.34,43.12,49.82,28.3
2401.TW,2026-07-03,80,30,25,10,15,1.47,1.48,-0.01,63.1,2.39,28.67,40.62,12.8
1521.TW,2026-07-03,80,40,30,10,0,0.12,0.14,-0.02,67.4,0.55,25.15,27.9,13.0
3059.TW,2026-07-03,80,35,25,5,15,1.35,1.45,-0.11,63.6,2.36,45.58,57.38,9.0
6579.TW,2026-07-03,80,30,20,15,15,2.37,3.07,-0.7,56.7,5.57,154.36,182.21,23.1
2838.TW,2026-07-03,80,35,30,5,10,0.49,0.5,-0.0,66.7,0.51,21.88,24.43,9.6
2891C.TW,2026-07-03,80,40,30,10,0,0.09,0.11,-0.01,66.7,0.11,62.58,63.13,18.9
4306.TW,2026-07-03,75,35,25,5,10,0.48,0.51,-0.02,63.6,0.39,15.77,17.72,9.1
2897.TW,2026-07-03,75,40,20,15,0,0.08,0.1,-0.02,53.3,0.13,10.29,10.94,25.4
2867.TW,2026-07-03,75,35,25,15,0,0.14,0.17,-0.03,60.5,0.21,8.14,9.19,61.4
2542.TW,2026-07-03,70,35,15,15,5,0.17,0.39,-0.21,41.1,1.1,41.45,46.95,1361.1
2377.TW,2026-07-03,70,30,20,5,15,4.86,5.08,-0.22,59.7,5.25,132.5,158.75,5.1
2356.TW,2026-07-03,70,30,10,15,15,1.05,1.66,-0.61,55.6,2.84,61.92,76.12,27.6
6005.TW,2026-07-03,70,30,10,15,15,0.49,1.01,-0.53,44.1,1.11,35.93,41.48,100.8
8070.TW,2026-07-03,70,35,10,15,10,0.81,1.31,-0.5,48.1,2.56,50.88,63.68,20.4
3033.TW,2026-07-03,70,35,20,10,5,0.72,0.94,-0.22,55.6,1.6,47.2,55.2,19.6
2428.TW,2026-07-03,70,25,25,5,15,18.17,18.45,-0.28,63.8,20.86,300.28,404.58,8.3
2423.TW,2026-07-03,70,30,20,15,5,0.74,1.42,-0.67,55.7,2.7,69.2,82.7,27.5
2382.TW,2026-07-03,70,25,20,15,10,6.0,7.93,-1.93,53.8,10.54,355.92,408.62,66.6
2025.TW,2026-07-03,70,35,10,15,10,0.17,0.31,-0.14,45.2,0.65,12.35,15.6,96.5
1773.TW,2026-07-03,70,40,20,10,0,0.13,0.19,-0.06,52.0,5.81,165.88,194.93,10.6
1449.TW,2026-07-03,70,40,15,15,0,0.21,0.27,-0.06,52.4,0.56,13.43,16.23,22.3
1904.TW,2026-07-03,70,35,20,5,10,0.56,0.66,-0.1,56.5,0.75,21.7,25.45,1.3
6667.TWO,2026-07-03,70,35,25,10,0,3.08,3.43,-0.35,60.3,7.83,255.34,294.49,13.9
6716.TWO,2026-07-03,70,35,20,15,0,0.17,0.56,-0.39,62.2,6.37,86.76,118.61,68.3
8487.TW,2026-07-03,70,30,15,15,10,1.61,2.27,-0.66,30.1,1.35,75.6,82.35,58.4
6902.TW,2026-07-03,70,30,20,15,5,1.77,2.63,-0.86,51.0,6.93,120.14,154.79,26.6
6026.TWO,2026-07-03,70,35,20,15,0,0.15,0.17,-0.02,53.8,0.41,15.23,17.28,37.9
8032.TWO,2026-07-03,70,35,20,15,0,0.22,0.54,-0.33,53.9,1.86,39.68,48.98,40.8
5410.TWO,2026-07-03,70,35,20,15,0,1.47,1.72,-0.24,51.5,1.56,42.88,50.68,21.1
4127.TWO,2026-07-03,70,35,20,15,0,2.69,3.08,-0.39,55.1,3.86,62.08,81.38,70.0
1342.TW,2026-07-03,65,30,15,10,10,3.53,4.32,-0.8,46.0,4.46,106.58,128.88,17.8
1727.TW,2026-07-03,65,30,20,10,5,1.3,1.85,-0.55,60.4,5.36,81.98,108.78,14.9
3088.TWO,2026-07-03,65,30,20,15,0,2.76,3.27,-0.51,55.9,5.64,135.22,163.42,29.6
8473.TW,2026-07-03,65,30,10,10,15,0.87,1.58,-0.71,38.9,1.86,45.43,54.73,10.3
6996.TWO,2026-07-03,65,35,20,10,0,2.14,2.34,-0.2,54.9,5.64,189.72,217.92,15.3
2108.TW,2026-07-03,65,40,15,10,0,0.03,0.08,-0.05,46.3,0.83,28.19,32.34,14.3
2301.TW,2026-07-03,65,35,15,10,5,1.34,1.77,-0.43,51.1,12.18,194.64,255.54,19.2
2420.TW,2026-07-03,65,35,25,5,0,0.17,0.31,-0.14,62.3,1.71,58.58,67.13,0.8
4534.TWO,2026-07-03,65,35,20,10,0,1.16,1.3,-0.14,53.9,2.25,29.8,41.05,11.2
5493.TWO,2026-07-03,65,40,15,10,0,0.18,0.27,-0.08,48.4,3.25,86.5,102.75,17.1
9934.TW,2026-07-03,65,40,20,5,0,0.07,0.09,-0.02,52.3,0.25,10.0,11.25,6.3
6115.TW,2026-07-03,65,40,20,5,0,0.15,0.18,-0.03,55.1,0.51,47.88,50.43,3.4
5607.TW,2026-07-03,65,35,15,15,0,0.07,0.25,-0.18,47.2,1.01,50.08,55.13,35.7
6016.TWO,2026-07-03,65,35,15,15,0,0.48,0.84,-0.35,54.0,0.99,27.07,32.02,3222.5
6229.TWO,2026-07-03,65,35,15,15,0,0.12,0.14,-0.02,57.9,1.05,25.3,30.55,44.6
4953.TWO,2026-07-03,65,35,15,15,0,0.19,0.69,-0.5,46.1,3.51,120.98,138.53,28.7
3071.TWO,2026-07-03,65,35,15,15,0,0.09,0.26,-0.18,46.3,1.21,30.43,36.48,30.7
3511.TWO,2026-07-03,65,35,25,5,0,0.51,0.58,-0.07,60.5,1.26,22.98,29.28,1.1
6606.TW,2026-07-03,65,40,15,10,0,0.09,0.13,-0.04,43.8,0.47,24.01,26.36,11.1
2884.TW,2026-07-03,65,35,20,10,0,0.56,0.65,-0.09,57.9,0.8,32.1,36.1,14.6
3673.TW,2026-07-03,65,25,15,15,10,0.91,1.7,-0.79,53.0,5.98,70.44,100.34,30.5
6282.TW,2026-07-03,65,35,15,15,0,0.08,0.53,-0.45,50.4,3.09,52.12,67.57,20.5
2114.TW,2026-07-03,60,35,20,5,0,0.74,0.84,-0.09,54.5,1.26,87.98,94.28,9.4
2471.TW,2026-07-03,60,30,20,10,0,0.16,0.19,-0.04,55.6,0.93,52.04,56.69,14.1
5288.TW,2026-07-03,60,30,15,5,10,4.33,5.33,-1.0,44.1,7.25,170.5,206.75,8.9
4764.TW,2026-07-03,60,25,15,15,5,3.07,4.73,-1.66,59.3,24.36,251.28,373.08,24.7
2459.TW,2026-07-03,60,40,15,5,0,0.11,0.21,-0.1,45.7,0.83,62.64,66.79,6.4
6113.TWO,2026-07-03,60,35,10,15,0,0.24,0.54,-0.31,47.3,1.55,23.55,31.3,33.1
6161.TWO,2026-07-03,60,35,15,10,0,0.14,0.29,-0.16,50.0,1.39,50.92,57.87,16.3
6227.TWO,2026-07-03,60,30,15,15,0,0.34,1.11,-0.77,47.7,4.61,115.28,138.33,40.8
