Ticker,ROI(%)
2313.TW,89.79
2382.TW,-10.26
2460.TW,11.29
2484.TW,15.81
2489.TW,107.08
2535.TW,14.65
2855.TW,7.79
2887.TW,22.4
3504.TW,-5.95
4540.TW,18.39
4904.TW,9.22
4958.TW,-2.92
5234.TW,10.38
6257.TW,-1.8
6598.TW,-4.47
8081.TW,5.22
2883B.TW,1.92
2887G.TW,8.28
8112A.TW,3.08
1815.TWO,-5.55
3234.TWO,60.73
3264.TWO,43.05
3556.TWO,-0.72
4533.TWO,42.85
4534.TWO,32.69
4979.TWO,13.45
4987.TWO,17.5
5498.TWO,86.45
6109.TWO,-23.92
6494.TWO,10.23
7709.TWO,49.84
8074.TWO,44.55
8147.TWO,19.21
8289.TWO,31.61
