Ticker,ROI(%)
1307.TW,0.61
1419.TW,-13.42
1727.TW,45.41
2301.TW,0.57
2302.TW,97.99
2324.TW,5.61
2347.TW,1.65
2376.TW,0.09
2441.TW,-14.16
2476.TW,18.68
2535.TW,21.33
2610.TW,20.86
2618.TW,12.53
2739.TW,-0.3
2816.TW,10.42
2882.TW,32.26
3149.TW,92.38
4306.TW,5.53
4555.TW,21.93
6116.TW,33.66
9944.TW,-1.37
2432.TW,18.03
2066.TWO,6.38
3268.TWO,-4.21
3276.TWO,-3.56
3285.TWO,26.28
3290.TWO,48.2
3516.TWO,26.88
4538.TWO,10.9
4554.TWO,1.65
4706.TWO,-8.82
4953.TWO,-5.23
5347.TWO,25.55
5460.TWO,-0.19
6021.TWO,33.92
6174.TWO,55.49
6175.TWO,25.43
7713.TWO,-8.9
7715.TWO,-8.79
9960.TWO,35.5
