Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2317.TW,2026-05-25,90,35,30,15,10,9.06,9.14,-0.09,67.2,9.93,241.14,290.79,28.9
2855.TW,2026-05-25,90,35,25,15,15,1.78,1.91,-0.13,61.0,1.62,38.81,46.91,269.5
6658.TW,2026-05-25,85,25,30,15,15,24.8,25.62,-0.83,66.3,15.54,180.92,258.62,27.3
4540.TW,2026-05-25,85,35,20,15,15,4.33,4.66,-0.33,54.5,5.17,62.36,88.21,67.1
3016.TW,2026-05-25,80,35,25,5,15,12.42,12.6,-0.17,64.9,9.46,114.08,161.38,9.2
3532.TW,2026-05-25,80,30,25,10,15,16.64,17.47,-0.83,62.0,19.89,233.22,332.67,10.9
3581.TWO,2026-05-25,80,35,30,15,0,29.53,29.81,-0.28,68.7,19.04,234.42,329.62,41.5
2465.TW,2026-05-25,75,30,15,15,15,4.37,4.77,-0.4,45.8,5.51,75.18,102.73,96.6
2417.TW,2026-05-25,75,35,15,10,15,2.17,2.44,-0.27,38.0,2.96,45.98,60.78,17.0
3550.TW,2026-05-25,75,40,15,15,5,0.35,0.4,-0.05,37.0,1.33,18.84,25.49,21.6
6015.TWO,2026-05-25,75,35,25,15,0,0.47,0.5,-0.03,60.2,0.81,14.38,18.43,139.1
6134.TWO,2026-05-25,75,40,20,15,0,0.08,0.11,-0.03,52.4,1.64,28.77,36.97,49.8
6951.TW,2026-05-25,70,35,20,15,0,0.29,0.3,-0.01,53.6,1.12,78.76,84.36,21.5
3290.TWO,2026-05-25,70,40,15,15,0,0.04,0.09,-0.06,49.1,1.94,43.27,52.97,83.7
6026.TWO,2026-05-25,70,40,15,15,0,0.08,0.17,-0.09,48.6,0.48,14.64,17.04,37.6
8086.TWO,2026-05-25,70,35,20,15,0,3.83,3.91,-0.08,58.7,9.96,143.08,192.88,64.9
5523.TWO,2026-05-25,70,40,25,5,0,0.02,0.02,-0.0,60.0,0.48,29.49,31.89,0.4
3229.TW,2026-05-25,70,25,15,15,15,2.28,3.07,-0.79,50.9,3.78,35.99,54.89,45.8
2882B.TW,2026-05-25,70,35,20,15,0,0.01,0.03,-0.02,50.0,0.36,60.08,61.88,112.9
3171.TWO,2026-05-25,70,35,20,15,0,0.68,0.76,-0.08,55.7,2.72,65.46,79.06,77.6
4543.TWO,2026-05-25,65,35,15,15,0,0.67,0.84,-0.17,37.8,1.58,35.94,43.84,39.3
5351.TWO,2026-05-25,65,35,15,15,0,2.87,3.31,-0.44,58.2,6.4,69.3,101.3,336.2
2347.TW,2026-05-25,65,30,20,15,0,0.88,1.04,-0.16,56.0,2.48,79.24,91.64,38.3
2527.TW,2026-05-25,65,35,15,15,0,0.07,0.16,-0.08,59.0,1.05,32.85,38.1,2497.3
5515.TW,2026-05-25,65,30,20,15,0,0.28,0.29,-0.01,57.5,1.3,38.1,44.6,38.8
3057.TW,2026-05-25,65,35,10,15,5,0.23,0.41,-0.17,48.7,1.17,17.66,23.51,24.1
8213.TW,2026-05-25,65,40,20,5,0,0.56,0.63,-0.07,59.5,1.71,36.13,44.68,7.6
6414.TW,2026-05-25,65,25,20,5,15,11.33,11.86,-0.53,57.2,14.75,334.0,407.75,7.7
3669.TW,2026-05-25,65,35,15,15,0,0.01,0.24,-0.23,31.9,1.58,35.79,43.69,23.5
6021.TWO,2026-05-25,65,35,15,15,0,0.33,0.63,-0.29,39.3,1.11,29.98,35.53,132.6
6494.TWO,2026-05-25,65,30,20,15,0,1.26,1.26,-0.0,55.7,2.96,51.28,66.08,35.8
1342.TW,2026-05-25,60,30,20,10,0,0.44,0.73,-0.29,50.8,2.04,89.22,99.42,17.8
6229.TWO,2026-05-25,60,35,15,10,0,0.7,0.98,-0.29,55.4,1.85,23.9,33.15,11.6
3432.TW,2026-05-25,60,35,10,15,0,0.29,0.49,-0.19,31.0,0.95,18.0,22.75,371.4
3402.TWO,2026-05-25,60,35,15,10,0,1.88,2.06,-0.19,46.0,4.43,134.14,156.29,10.6
8150.TW,2026-05-25,60,15,15,15,15,2.98,4.05,-1.07,52.6,7.01,72.78,107.83,25.4
4569.TW,2026-05-25,60,35,20,5,0,3.69,3.8,-0.11,57.1,12.32,167.36,228.96,6.6
5443.TWO,2026-05-25,60,30,15,15,0,2.56,3.45,-0.89,47.5,8.32,115.36,156.96,23.6
