Ticker,ROI(%)
1809.TW,-0.68
2049.TW,9.9
2303.TW,26.43
2369.TW,-9.02
2382.TW,-10.26
2436.TW,-6.54
2455.TW,1.15
2484.TW,15.81
2486.TW,43.0
2535.TW,14.65
2855.TW,7.72
3006.TW,50.04
3533.TW,2.8
3715.TW,-21.17
4540.TW,20.56
5434.TW,-7.7
6213.TW,-19.01
6257.TW,9.63
6451.TW,13.73
6598.TW,-4.47
6770.TW,72.88
8021.TW,17.17
8081.TW,7.07
1312A.TW,-13.21
2887E.TW,1.02
2887G.TW,8.28
3234.TWO,60.73
3264.TWO,54.37
3430.TWO,56.31
3526.TWO,5.51
3556.TWO,2.26
3684.TWO,14.14
4127.TWO,16.53
4534.TWO,29.13
4744.TWO,-10.43
5302.TWO,1.49
5464.TWO,10.25
5475.TWO,88.15
5498.TWO,86.45
5523.TWO,0.66
6015.TWO,2.87
6016.TWO,1.7
6021.TWO,20.69
6109.TWO,-25.73
6134.TWO,-4.6
6654.TWO,19.67
7709.TWO,55.46
8091.TWO,11.86
8147.TWO,20.74
8905.TWO,7.02
