Ticker,ROI(%)
1301.TW,11.75
1303.TW,65.71
1409.TW,19.58
1513.TW,-2.25
1583.TW,-14.5
1605.TW,1.96
1608.TW,-1.74
1731.TW,-2.26
1802.TW,-10.79
1817.TW,2.05
2031.TW,-2.94
2103.TW,0.87
2114.TW,6.73
2115.TW,13.6
2362.TW,15.25
2395.TW,38.59
2421.TW,2.33
2426.TW,62.72
2464.TW,97.3
2465.TW,14.3
2491.TW,198.77
2603.TW,18.97
2606.TW,
2615.TW,
2636.TW,
2739.TW,
2753.TW,
2816.TW,
2906.TW,
3023.TW,
3049.TW,
3135.TW,
3231.TW,
3504.TW,
3617.TW,
4106.TW,
4540.TW,
4576.TW,
4766.TW,
4912.TW,
4938.TW,
4949.TW,
4967.TW,
5434.TW,
5515.TW,
5607.TW,
6108.TW,
6141.TW,
6209.TW,
6224.TW,
6278.TW,
6598.TW,
6666.TW,
6670.TW,
6770.TW,
6782.TW,
6792.TW,
6914.TW,
8070.TW,
8481.TW,
9918.TW,
9931.TW,
1522A.TW,
2887I.TW,
5871A.TW,
1240.TWO,0.85
1268.TWO,
1595.TWO,
1777.TWO,
1815.TWO,
3228.TWO,
3444.TWO,
3490.TWO,
3631.TWO,
3680.TWO,
4111.TWO,
4139.TWO,
4554.TWO,
4735.TWO,
4760.TWO,
5324.TWO,
5356.TWO,
5371.TWO,-7.73
6195.TWO,
6240.TWO,
6419.TWO,
6506.TWO,
6712.TWO,
6716.TWO,
6953.TWO,
7704.TWO,
7713.TWO,
8093.TWO,
8354.TWO,
8932.TWO,
