Ticker,ROI(%)
1342.TW,7.25
1423.TW,-2.84
1514.TW,21.12
1802.TW,-8.53
2248.TW,-0.01
2379.TW,-15.89
2417.TW,-6.33
2465.TW,19.23
2476.TW,37.65
2493.TW,-16.98
2834.TW,3.93
3010.TW,-10.96
3016.TW,75.66
3057.TW,2.13
3229.TW,170.32
3231.TW,2.73
3535.TW,-17.71
3550.TW,-0.93
3588.TW,7.35
3605.TW,23.13
3645.TW,32.54
4569.TW,3.82
4720.TW,38.22
4766.TW,-17.74
4949.TW,63.4
5234.TW,21.84
6108.TW,11.69
6136.TW,0.91
6414.TW,5.81
7721.TW,51.47
8039.TW,16.38
8213.TW,-1.46
9942.TW,-4.79
2882B.TW,-1.15
2887I.TW,0.53
6534.TW,-0.17
6951.TW,-8.66
3071.TWO,-1.18
3162.TWO,18.57
3265.TWO,2.79
3290.TWO,1.6
3303.TWO,5.26
3390.TWO,1.07
3402.TWO,8.59
3444.TWO,80.37
3556.TWO,31.2
3594.TWO,27.91
3709.TWO,13.07
4510.TWO,-9.85
4543.TWO,2.75
4556.TWO,15.25
4741.TWO,116.11
4749.TWO,22.99
4950.TWO,-17.22
4953.TWO,-3.6
4987.TWO,18.29
5344.TWO,-5.55
5483.TWO,15.44
5523.TWO,1.17
5543.TWO,4.86
5864.TWO,54.33
6015.TWO,15.84
6021.TWO,16.65
6026.TWO,19.55
6121.TWO,7.59
6134.TWO,-10.22
6146.TWO,22.04
6229.TWO,12.05
6417.TWO,1.1
6425.TWO,1.83
6494.TWO,23.68
6530.TWO,22.42
6913.TWO,-21.38
6967.TWO,21.97
8048.TWO,12.39
8074.TWO,65.57
