Ticker,ROI(%)
1608.TW,-1.74
1904.TW,17.97
2103.TW,0.87
2109.TW,2.53
2313.TW,-15.73
2362.TW,15.25
2395.TW,38.59
2464.TW,97.3
2491.TW,198.77
2537.TW,5.4
2546.TW,37.06
2603.TW,17.54
2605.TW,-12.23
2636.TW,-3.29
2753.TW,7.29
2850.TW,1.01
3049.TW,20.54
4766.TW,6.76
4938.TW,-0.96
5515.TW,31.61
5607.TW,-4.9
6108.TW,58.39
6141.TW,38.62
6666.TW,4.29
9905.TW,4.68
2887I.TW,0.99
1777.TWO,4.05
1815.TWO,13.39
3490.TWO,82.38
3498.TWO,106.06
3631.TWO,26.88
4527.TWO,3.81
4735.TWO,26.35
4907.TWO,13.59
5371.TWO,-7.73
6506.TWO,3.66
6612.TWO,-5.61
6716.TWO,64.44
7708.TWO,-3.74
8155.TWO,39.85
8354.TWO,-12.04
