Ticker,ROI(%)
1449.TW,4.5
2305.TW,28.09
2316.TW,-26.37
2382.TW,2.72
2471.TW,-17.32
2472.TW,23.27
2481.TW,-23.88
2493.TW,-6.44
2923.TW,-3.0
3054.TW,146.88
3305.TW,-13.43
4739.TW,-4.26
6168.TW,1.68
6277.TW,5.72
6426.TW,91.71
6438.TW,8.0
8112.TW,-17.62
9905.TW,-6.87
9917.TW,-0.67
2882A.TW,2.46
2887E.TW,2.83
2887F.TW,1.37
2887H.TW,4.43
2432.TW,-8.47
1815.TWO,-37.6
2640.TWO,29.76
3339.TWO,62.55
3444.TWO,68.54
3556.TWO,23.44
4527.TWO,2.88
4905.TWO,-4.4
5439.TWO,11.31
5475.TWO,128.38
6134.TWO,13.07
6292.TWO,-9.16
6465.TWO,-9.6
6588.TWO,164.78
6667.TWO,4.97
6693.TWO,41.91
6874.TWO,23.82
6899.TWO,-0.76
8289.TWO,20.04
