Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2236.TW,2026-01-28,75,35,20,15,5,1.1,1.4,-0.29,58.3,4.25,107.5,128.75,473.2
2887Z1.TW,2026-01-28,75,40,20,15,0,0.03,0.03,-0.0,50.0,0.09,16.37,16.82,78.0
1312A.TW,2026-01-27,75,40,25,10,0,0.23,0.26,-0.03,63.4,0.44,22.22,24.42,12.0
4542.TWO,2026-01-28,75,30,30,15,0,6.24,6.85,-0.6,66.4,5.66,94.18,122.48,121.9
3028.TW,2026-01-28,70,40,20,10,0,0.77,0.8,-0.03,57.9,1.53,38.29,45.94,14.7
6624.TWO,2026-01-28,70,40,25,5,0,1.62,1.71,-0.09,62.2,2.51,60.88,73.43,1.3
6894.TWO,2026-01-28,65,30,20,15,0,5.12,5.53,-0.41,52.1,9.75,214.5,263.25,42.7
2836A.TW,2026-01-28,65,35,20,10,0,0.01,0.01,-0.0,50.0,0.12,23.56,24.16,17.0
6691.TW,2026-01-28,65,25,20,15,5,12.65,14.44,-1.79,58.3,21.57,561.86,669.71,47.3
8416.TWO,2026-01-27,65,35,15,15,0,1.1,1.26,-0.17,47.6,3.04,178.92,194.12,34.0
4991.TWO,2026-01-28,60,30,20,10,0,3.64,4.53,-0.89,56.7,11.36,199.28,256.08,18.5
8033.TW,2026-01-28,60,35,10,10,5,3.16,3.36,-0.2,45.9,6.29,142.42,173.87,15.1
6188.TWO,2026-01-28,55,30,10,15,0,1.41,1.48,-0.06,49.2,4.11,108.28,128.83,34.5
6218.TWO,2026-01-28,50,35,10,5,0,0.33,0.68,-0.35,42.0,1.08,22.19,27.59,6.3
8028.TW,2026-01-28,50,25,10,15,0,0.33,2.32,-1.99,32.0,6.82,164.86,198.96,24.1
6830.TW,2026-01-28,45,20,15,10,0,1.74,2.98,-1.24,46.6,7.71,164.08,202.63,11.3
6465.TWO,2026-01-28,45,30,10,5,0,0.51,1.15,-0.64,38.1,2.16,31.68,42.48,8.8
