Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2887G.TW,2026-01-22,70,35,20,15,0,0.16,0.18,-0.02,57.1,0.16,39.43,40.23,78.0
2887Z1.TW,2026-01-22,70,40,15,15,0,0.03,0.04,-0.02,46.7,0.11,16.28,16.83,78.0
2887E.TW,2026-01-22,70,40,15,15,0,0.09,0.14,-0.04,35.7,0.29,49.32,50.77,78.0
8033.TW,2026-01-22,65,35,15,10,5,3.31,3.63,-0.33,58.7,7.54,139.42,177.12,15.1
6209.TW,2026-01-22,65,30,15,15,5,0.23,0.47,-0.24,41.7,2.74,58.22,71.92,72.7
3349.TWO,2026-01-22,65,35,15,15,0,0.44,0.76,-0.32,47.1,1.03,28.34,33.49,39.0
2236.TW,2026-01-22,60,25,15,15,5,0.94,2.03,-1.09,31.0,4.5,103.0,125.5,473.2
5515.TW,2026-01-22,60,30,10,15,5,0.02,0.62,-0.6,40.5,1.43,30.99,38.14,33.9
4131.TWO,2026-01-22,60,30,15,15,0,0.42,0.68,-0.26,42.7,1.4,37.2,44.2,234.9
3441.TWO,2026-01-22,55,25,15,15,0,0.0,0.11,-0.11,46.7,1.01,35.18,40.23,31.3
6624.TWO,2026-01-22,50,35,10,5,0,1.46,1.94,-0.48,45.5,2.86,57.68,71.98,1.3
6291.TWO,2026-01-22,40,15,10,15,0,0.36,1.44,-1.09,40.4,8.68,169.14,212.54,27.1
