Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
6951.TW,2026-04-29,80,35,30,15,0,0.61,0.64,-0.04,65.4,1.36,79.08,85.88,26.0
6259.TWO,2026-04-29,80,40,30,10,0,0.92,0.98,-0.06,65.3,2.02,18.16,28.26,11.3
2882B.TW,2026-04-29,75,40,20,15,0,0.08,0.08,-0.01,57.1,0.17,60.56,61.41,112.9
6020.TWO,2026-04-29,70,40,15,15,0,0.01,0.03,-0.02,38.9,0.17,18.86,19.71,381.2
6874.TWO,2026-04-29,65,35,20,10,0,1.78,2.11,-0.33,53.2,3.52,83.16,100.76,17.2
3535.TW,2026-04-29,65,30,15,15,5,0.98,1.19,-0.21,53.4,8.71,108.58,152.13,230.7
2851.TW,2026-04-29,65,35,15,15,0,0.16,0.27,-0.11,43.8,0.52,29.36,31.96,29.9
8421.TWO,2026-04-29,60,35,20,5,0,0.01,0.02,-0.01,52.0,0.25,13.1,14.35,1.2
8086.TWO,2026-04-29,60,30,15,15,0,3.25,3.85,-0.6,49.6,9.75,122.5,171.25,64.9
2347.TW,2026-04-29,60,25,20,10,5,1.9,2.28,-0.39,57.0,2.34,78.62,90.32,11.4
2891.TW,2026-04-29,60,30,15,15,0,0.08,0.2,-0.12,34.5,1.0,51.1,56.1,43.3
2890.TW,2026-04-29,55,25,15,15,0,0.04,0.17,-0.13,33.3,0.59,30.72,33.67,41.3
2305.TW,2026-04-29,55,35,10,10,0,0.29,0.61,-0.32,43.1,1.26,13.73,20.03,19.7
5340.TWO,2026-04-29,45,25,10,10,0,1.01,2.25,-1.24,45.5,8.43,96.14,138.29,13.1
8096.TWO,2026-04-29,45,25,10,10,0,2.29,3.53,-1.24,41.9,5.91,80.38,109.93,14.7
