Ticker,ROI(%)
1342.TW,6.63
2317.TW,13.27
2347.TW,6.69
2417.TW,-7.74
2449.TW,-5.77
2465.TW,19.23
2527.TW,6.63
2855.TW,14.19
3016.TW,72.63
3057.TW,31.99
3229.TW,170.32
3432.TW,31.45
3532.TW,65.2
3535.TW,-15.77
3550.TW,-0.93
3588.TW,7.35
3605.TW,30.81
3669.TW,6.24
4540.TW,59.88
4569.TW,3.14
4720.TW,38.22
4766.TW,-16.09
5515.TW,12.15
6108.TW,12.56
6414.TW,3.19
6658.TW,233.21
8131.TW,13.27
8150.TW,18.98
8213.TW,-1.46
8996.TW,37.82
9942.TW,-6.96
2882B.TW,-0.66
6951.TW,-8.66
2070.TWO,75.46
3071.TWO,-0.27
3171.TWO,32.96
3265.TWO,4.18
3290.TWO,-0.57
3303.TWO,5.26
3402.TWO,8.59
3467.TWO,87.82
3551.TWO,-11.15
3581.TWO,81.19
3594.TWO,22.56
4543.TWO,-6.69
4721.TWO,-3.84
4741.TWO,120.25
5344.TWO,-5.55
5351.TWO,79.06
5443.TWO,0.4
5483.TWO,14.33
5523.TWO,1.17
5864.TWO,54.33
6015.TWO,15.84
6021.TWO,18.51
6026.TWO,18.56
6134.TWO,-10.22
6146.TWO,22.04
6229.TWO,11.07
6234.TWO,70.38
6261.TWO,49.81
6494.TWO,23.68
6530.TWO,31.41
6693.TWO,43.0
6823.TWO,42.5
6967.TWO,2.04
7704.TWO,22.0
8048.TWO,14.16
8074.TWO,82.06
8086.TWO,-11.63
8383.TWO,30.07
8421.TWO,-4.36
