Ticker,LastDate,MACD,Signal,Hist
1232.TW,2025-10-09,-0.62,-0.6,-0.02
1314.TW,2025-10-09,-0.01,-0.0,-0.0
1437.TW,2025-10-09,-0.09,0.01,-0.1
1438.TW,2025-10-09,-0.28,-0.17,-0.12
1440.TW,2025-10-09,-0.12,-0.06,-0.06
1445.TW,2025-10-09,-0.08,-0.03,-0.05
1446.TW,2025-10-09,-0.29,-0.28,-0.01
1454.TW,2025-10-09,-0.1,-0.09,-0.01
1468.TW,2025-10-09,-0.42,-0.35,-0.07
1472.TW,2025-10-09,-0.75,-0.61,-0.14
1477.TW,2025-10-09,0.56,3.09,-2.53
1506.TW,2025-10-09,-0.07,0.02,-0.09
1515.TW,2025-10-09,-0.66,-0.57,-0.09
1524.TW,2025-10-09,-0.31,-0.24,-0.06
1525.TW,2025-10-09,-0.15,0.04,-0.19
1530.TW,2025-10-09,-0.2,-0.18,-0.02
1538.TW,2025-10-08,-0.2,-0.18,-0.02
1568.TW,2025-10-09,-0.17,-0.11,-0.07
1713.TW,2025-10-09,-0.15,-0.14,-0.02
1752.TW,2025-10-09,-0.06,0.13,-0.18
1805.TW,2025-10-09,-0.43,-0.38,-0.05
1810.TW,2025-10-09,-0.37,-0.29,-0.08
1904.TW,2025-10-09,-0.15,-0.13,-0.02
1909.TW,2025-10-09,-0.02,-0.01,-0.0
2014.TW,2025-10-09,-0.0,0.0,-0.0
2017.TW,2025-10-09,-0.13,-0.12,-0.02
2038.TW,2025-10-09,-0.03,-0.03,-0.01
2101.TW,2025-10-09,-0.95,-0.56,-0.39
2109.TW,2025-10-09,-0.27,-0.19,-0.08
2206.TW,2025-10-09,-0.53,-0.46,-0.08
2207.TW,2025-10-09,2.78,4.68,-1.91
2227.TW,2025-10-09,-0.15,-0.09,-0.05
2231.TW,2025-10-09,2.56,4.45,-1.89
2305.TW,2025-10-09,-0.07,-0.01,-0.06
2349.TW,2025-10-09,-0.18,-0.15,-0.03
2355.TW,2025-10-09,-0.44,-0.31,-0.12
2371.TW,2025-10-09,-0.18,-0.16,-0.03
2402.TW,2025-10-09,-0.54,-0.31,-0.23
2406.TW,2025-10-09,-0.28,-0.07,-0.21
2414.TW,2025-10-09,-0.11,-0.05,-0.05
2417.TW,2025-10-09,-0.75,-0.65,-0.11
2427.TW,2025-10-09,-0.4,-0.39,-0.01
2442.TW,2025-10-09,-0.35,-0.33,-0.02
2460.TW,2025-10-09,-0.17,-0.11,-0.06
2482.TW,2025-10-09,-0.31,-0.19,-0.12
2488.TW,2025-10-09,-0.31,-0.3,-0.01
2491.TW,2025-10-09,-0.07,0.02,-0.08
2505.TW,2025-10-09,-0.08,-0.05,-0.02
2506.TW,2025-10-09,-0.07,-0.06,-0.02
2509.TW,2025-10-09,-0.01,0.16,-0.17
2511.TW,2025-10-09,-0.02,-0.02,-0.0
2520.TW,2025-10-09,-0.99,-0.8,-0.19
2536.TW,2025-10-09,-0.14,-0.11,-0.03
2537.TW,2025-10-09,-0.06,-0.03,-0.03
2547.TW,2025-10-09,-0.09,-0.07,-0.02
2605.TW,2025-10-09,-0.17,-0.09,-0.08
2610.TW,2025-10-09,-0.16,-0.14,-0.02
2611.TW,2025-10-09,-0.27,-0.26,-0.01
2612.TW,2025-10-09,-0.91,-0.3,-0.61
2613.TW,2025-10-09,-0.5,-0.47,-0.03
2617.TW,2025-10-09,-0.19,-0.18,-0.01
2634.TW,2025-10-09,-0.25,0.54,-0.78
2636.TW,2025-10-09,-0.78,-0.57,-0.21
2702.TW,2025-10-09,-0.18,-0.18,-0.0
2704.TW,2025-10-09,-0.56,-0.33,-0.22
2731.TW,2025-10-09,-0.04,0.1,-0.14
2748.TW,2025-10-09,-0.5,-0.46,-0.04
2884.TW,2025-10-09,-0.18,-0.13,-0.05
2913.TW,2025-10-09,-0.2,-0.19,-0.01
2915.TW,2025-10-09,-0.49,-0.39,-0.1
2945.TW,2025-10-09,-0.24,-0.19,-0.05
3005.TW,2025-10-09,0.24,2.34,-2.1
3019.TW,2025-10-09,-0.14,0.13,-0.26
3024.TW,2025-10-09,-0.0,0.03,-0.03
3027.TW,2025-10-09,-0.62,-0.6,-0.01
3041.TW,2025-10-09,-0.01,0.16,-0.17
3043.TW,2025-10-09,-0.33,-0.3,-0.03
3047.TW,2025-10-09,-0.3,-0.23,-0.07
3051.TW,2025-10-09,-0.4,-0.33,-0.08
3058.TW,2025-10-09,-0.07,-0.01,-0.06
3059.TW,2025-10-09,-0.24,0.36,-0.6
3266.TW,2025-10-09,-0.06,-0.05,-0.01
3311.TW,2025-10-09,-0.55,-0.37,-0.19
3312.TW,2025-10-09,-0.88,-0.63,-0.25
3346.TW,2025-10-09,-0.11,-0.08,-0.03
3518.TW,2025-10-09,-0.3,-0.01,-0.29
3545.TW,2025-10-09,-0.66,-0.22,-0.44
3607.TW,2025-10-09,-0.15,-0.15,-0.0
3701.TW,2025-10-09,-0.57,-0.15,-0.42
4155.TW,2025-10-09,-0.27,-0.25,-0.02
4540.TW,2025-10-09,-0.92,-0.7,-0.22
4581.TW,2025-10-09,-0.23,-0.1,-0.13
4588.TW,2025-10-09,-0.96,-0.81,-0.15
4720.TW,2025-10-09,-0.04,0.02,-0.06
4919.TW,2025-10-09,-0.13,-0.03,-0.1
4952.TW,2025-10-09,-0.31,-0.0,-0.31
4958.TW,2025-10-09,-0.21,0.77,-0.99
5388.TW,2025-10-09,-0.69,-0.44,-0.25
5484.TW,2025-10-09,-0.42,-0.26,-0.15
