Ticker,ROI(%)
1726.TW,-0.61
2114.TW,2.97
2362.TW,-2.81
2382.TW,4.32
2393.TW,10.3
2414.TW,27.14
2501.TW,0.75
2542.TW,-3.37
2704.TW,-3.29
2834.TW,13.28
2849.TW,0.87
2850.TW,22.15
2867.TW,5.33
2880.TW,13.57
2884.TW,7.0
2892.TW,2.18
2897.TW,10.65
3003.TW,-5.06
4807.TW,90.63
5285.TW,83.96
5288.TW,18.42
6005.TW,21.94
6214.TW,4.2
6606.TW,-1.11
8112.TW,-17.74
8926.TW,45.97
2221.TWO,2.88
3191.TWO,28.43
5014.TWO,-1.83
6016.TWO,24.45
6020.TWO,2.28
6154.TWO,3.71
6570.TWO,31.17
6690.TWO,0.61
6716.TWO,60.46
7713.TWO,-12.81
8076.TWO,0.53
8416.TWO,-8.4
8472.TWO,48.61
