Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
6005.TW,2026-02-23,80,30,25,15,10,0.79,0.83,-0.04,63.0,1.11,28.33,33.88,29.2
8271.TW,2026-02-23,75,35,20,15,5,0.88,0.93,-0.05,56.6,8.0,105.0,145.0,69.9
2413.TW,2026-02-23,75,30,15,15,15,0.39,0.83,-0.44,50.6,3.55,38.55,56.3,21.5
6020.TWO,2026-02-23,75,40,20,15,0,0.01,0.03,-0.02,50.0,0.28,18.64,20.04,159.2
1809.TW,2026-02-23,70,35,10,10,15,0.78,1.22,-0.44,47.9,1.81,21.03,30.08,17.6
2645.TW,2026-02-23,70,35,15,10,10,2.97,3.34,-0.37,50.4,7.43,157.14,194.29,11.4
6015.TWO,2026-02-23,70,35,20,15,0,0.36,0.45,-0.08,54.7,0.7,12.05,15.55,80.9
6525.TW,2026-02-23,70,40,20,10,0,0.67,0.71,-0.04,52.4,1.74,77.12,85.82,16.4
1312A.TW,2026-02-23,70,40,20,10,0,0.02,0.08,-0.05,51.9,0.23,22.24,23.39,12.0
6776.TW,2026-02-23,65,35,15,15,0,0.91,1.29,-0.39,47.9,2.4,54.6,66.6,26.7
6693.TWO,2026-02-23,65,35,15,15,0,0.64,1.08,-0.44,43.9,3.04,80.52,95.72,25.6
6016.TWO,2026-02-23,65,30,20,15,0,0.47,0.57,-0.1,50.6,0.75,14.85,18.6,256.0
1802.TW,2026-02-23,65,25,20,5,15,2.18,2.82,-0.64,52.5,3.54,44.62,62.32,6.2
1514.TW,2026-02-23,65,25,10,15,15,3.08,4.82,-1.74,31.2,6.39,111.72,143.67,44.3
1312.TW,2026-02-23,65,40,15,10,0,0.12,0.22,-0.1,44.3,0.62,11.66,14.76,12.0
1308.TW,2026-02-23,65,40,20,5,0,0.01,0.03,-0.02,53.3,0.6,12.6,15.6,3.1
1718.TW,2026-02-23,65,40,15,10,0,0.0,0.02,-0.02,49.4,0.22,6.64,7.74,11.0
3481.TW,2026-02-23,65,35,10,5,15,0.47,0.83,-0.36,47.2,1.68,19.99,28.39,4.2
2303.TW,2026-02-23,60,30,10,5,15,1.7,2.57,-0.87,48.5,3.73,56.44,75.09,2.4
1612.TW,2026-02-23,60,35,10,15,0,0.04,0.21,-0.16,36.7,0.92,34.36,38.96,21.9
1521.TW,2026-02-23,60,35,15,10,0,0.38,0.5,-0.12,39.3,0.85,25.8,30.05,12.5
2331.TW,2026-02-23,60,35,10,10,5,0.16,0.53,-0.38,46.7,1.26,24.18,30.48,18.9
1714.TW,2026-02-23,60,30,20,10,0,0.13,0.16,-0.02,58.4,0.21,8.89,9.94,17.1
6691.TW,2026-02-23,60,20,20,15,5,5.42,7.24,-1.81,50.0,17.93,567.14,656.79,47.3
3031.TW,2026-02-23,60,40,15,5,0,0.02,0.06,-0.04,49.4,0.61,18.98,22.03,5.7
5302.TWO,2026-02-23,60,35,10,15,0,0.17,0.33,-0.15,44.5,0.72,9.91,13.51,62.5
8131.TW,2026-02-23,55,25,10,15,5,0.86,2.37,-1.51,40.0,5.04,59.22,84.42,26.7
1256.TW,2026-02-23,50,25,15,10,0,1.79,2.49,-0.7,53.9,6.29,146.42,177.87,10.9
6257.TW,2026-02-23,50,25,15,5,5,1.99,3.34,-1.35,43.1,5.5,118.0,145.5,5.8
2634.TW,2026-02-23,50,35,10,5,0,0.04,0.1,-0.07,49.4,1.92,52.46,62.06,2.0
2356.TW,2026-02-23,50,35,10,5,0,0.1,0.2,-0.11,33.2,1.51,41.83,49.38,7.6
2419.TW,2026-02-23,50,30,10,5,5,0.2,0.72,-0.53,45.5,1.99,25.97,35.92,4.8
5351.TWO,2026-02-23,50,30,10,10,0,0.21,1.13,-0.92,46.6,4.36,48.58,70.38,15.2
4543.TWO,2026-02-23,50,35,10,5,0,0.06,0.44,-0.38,23.8,1.13,28.09,33.74,1.1
6753.TW,2026-02-23,50,35,5,10,0,1.57,1.92,-0.35,48.6,8.25,135.5,176.75,18.9
3265.TWO,2026-02-23,50,25,20,5,0,3.03,4.34,-1.31,51.3,7.43,128.64,165.79,9.3
6129.TWO,2026-02-23,50,35,10,5,0,0.07,0.21,-0.14,35.1,0.73,14.14,17.79,2.5
5498.TWO,2026-02-23,50,25,10,15,0,0.97,2.68,-1.72,46.0,4.99,49.02,73.97,23.2
1513.TW,2026-02-23,45,25,15,5,0,1.71,3.37,-1.67,37.9,7.36,153.28,190.08,6.3
6265.TWO,2026-02-23,45,25,5,15,0,0.65,2.28,-1.63,35.7,4.31,31.23,52.78,124.3
