Ticker,ROI(%)
2022.TW,-8.75
2337.TW,141.54
2345.TW,3.01
2347.TW,7.83
2369.TW,7.99
2395.TW,5.54
2414.TW,-4.75
2436.TW,0.78
2471.TW,-13.5
2887.TW,16.13
3033.TW,-14.87
3209.TW,15.13
3413.TW,-18.27
3481.TW,74.7
4566.TW,-2.83
4739.TW,-6.75
4764.TW,40.08
4771.TW,-14.01
4989.TW,7.63
6197.TW,-11.61
6525.TW,-10.06
8112.TW,-7.89
9911.TW,1.67
1593.TWO,-2.62
1785.TWO,22.66
3066.TWO,4.69
3498.TWO,24.1
3663.TWO,-4.65
4923.TWO,-3.37
5351.TWO,46.21
5478.TWO,-2.51
5864.TWO,40.88
6016.TWO,0.75
6146.TWO,5.79
6290.TWO,13.27
6435.TWO,11.98
6874.TWO,22.93
6881.TWO,0.83
6894.TWO,39.17
7718.TWO,-1.62
8147.TWO,18.47
