Ticker,ROI(%)
1308.TW,1.62
1419.TW,11.09
1718.TW,-3.45
1802.TW,134.84
2316.TW,84.65
2368.TW,24.23
2415.TW,14.83
2451.TW,62.92
2486.TW,-5.2
2816.TW,12.62
2851.TW,8.43
2889.TW,-0.96
3231.TW,5.47
3321.TW,-11.54
3711.TW,30.33
3715.TW,12.14
4439.TW,14.05
8150.TW,24.94
8463.TW,11.92
1815.TWO,92.38
3163.TWO,48.43
3611.TWO,4.45
4760.TWO,9.98
4903.TWO,43.38
5340.TWO,-14.19
5351.TWO,-10.66
6016.TWO,17.05
6509.TWO,23.77
6530.TWO,-2.36
6693.TWO,22.43
7714.TWO,56.51
8034.TWO,29.72
8048.TWO,40.28
8155.TWO,-14.63
