Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
8390.TWO,2026-06-05,75,35,25,15,0,6.65,6.84,-0.19,63.0,6.0,113.0,143.0,49.5
4440.TW,2026-06-05,70,40,15,15,0,0.05,0.06,-0.01,48.9,0.34,17.57,19.27,29.8
8415.TWO,2026-06-05,65,40,15,10,0,0.19,0.25,-0.06,47.2,0.67,33.81,37.16,12.5
5543.TWO,2026-06-05,65,40,15,10,0,0.31,0.37,-0.05,57.9,1.01,27.98,33.03,11.6
6229.TWO,2026-06-05,60,35,15,10,0,0.29,0.45,-0.15,55.7,1.03,24.89,30.04,11.6
6944.TW,2026-06-05,55,20,20,15,0,6.58,8.02,-1.44,53.2,35.29,868.42,1044.87,54.8
9960.TWO,2026-06-05,50,30,15,5,0,0.26,0.42,-0.16,40.6,1.03,29.94,35.09,2.8
7556.TWO,2026-06-05,50,25,15,10,0,4.78,6.22,-1.44,56.6,14.5,252.5,325.0,10.8
3095.TWO,2026-06-05,45,30,10,5,0,0.55,1.31,-0.76,41.6,2.35,37.4,49.15,9.5
7704.TWO,2026-06-05,45,30,10,5,0,0.35,0.97,-0.63,41.4,3.17,55.56,71.41,9.5
