Ticker,ROI(%)
1514.TW,28.09
1762.TW,9.36
1809.TW,58.07
2301.TW,0.57
2324.TW,7.8
2353.TW,5.13
2356.TW,33.86
2395.TW,61.49
2420.TW,2.0
2441.TW,-2.99
2459.TW,-3.03
2471.TW,-5.66
2546.TW,2.16
2850.TW,20.07
3004.TW,-16.4
3033.TW,34.41
3048.TW,53.48
3231.TW,0.9
4555.TW,21.94
6005.TW,21.94
6115.TW,0.47
6214.TW,-0.22
6278.TW,72.23
6282.TW,9.52
6579.TW,24.46
6606.TW,-2.29
8163.TW,45.17
2891C.TW,2.99
2221.TWO,4.04
3071.TWO,-7.82
3264.TWO,30.11
3511.TWO,23.46
3520.TWO,3.57
3537.TWO,44.96
3628.TWO,-5.39
3675.TWO,19.24
4127.TWO,120.67
4207.TWO,15.7
4580.TWO,-8.87
4711.TWO,-1.88
4995.TWO,-2.94
5228.TWO,73.71
5864.TWO,25.92
6015.TWO,11.45
6016.TWO,24.45
6170.TWO,-1.5
6190.TWO,29.01
6227.TWO,44.24
6432.TWO,22.68
7556.TWO,51.44
8121.TWO,35.89
