Ticker,Date,Score,Pattern,Momentum,Fundamental,RS,MACD,Signal,Hist,RSI,ATR,StopLoss,TakeProfit,RevenueGrowth
2302.TW,2025-11-28,85,40,20,10,15,0.09,0.1,-0.01,56.8,0.67,17.66,21.01,11.2
4739.TW,2025-11-28,85,40,20,15,10,0.16,0.19,-0.03,56.8,2.8,62.8,76.8,76.5
2855.TW,2025-11-28,85,40,15,15,15,0.18,0.2,-0.02,48.7,0.52,23.46,26.06,89.6
5521.TW,2025-11-28,85,40,20,10,15,0.54,0.56,-0.02,54.7,0.63,13.74,16.89,11.3
2535.TW,2025-11-28,80,40,15,15,10,0.02,0.07,-0.05,41.0,0.98,61.24,66.14,58.8
2241.TW,2025-11-28,80,35,20,10,15,0.36,0.54,-0.18,53.3,1.41,33.48,40.53,11.7
2375.TW,2025-11-28,80,30,30,5,15,1.98,2.63,-0.65,68.7,5.84,81.92,111.12,3.9
8070.TW,2025-11-28,75,35,15,10,15,0.1,0.26,-0.16,42.9,1.34,42.22,48.92,11.7
6770.TW,2025-11-28,75,35,20,5,15,1.15,1.57,-0.42,57.0,2.79,28.52,42.47,1.6
6026.TWO,2025-11-28,75,40,20,15,0,0.08,0.09,-0.02,55.6,0.18,11.74,12.64,229.0
4417.TWO,2025-11-28,75,40,30,5,0,0.97,1.02,-0.05,66.7,1.29,53.12,59.57,5.5
3028.TW,2025-11-28,75,35,15,10,15,0.47,0.67,-0.2,50.2,1.6,32.75,40.75,14.7
6531.TW,2025-11-28,75,30,20,10,15,8.76,8.96,-0.21,58.0,18.96,395.08,489.88,17.3
6257.TW,2025-11-28,75,40,15,5,15,0.59,0.65,-0.06,54.7,3.29,93.92,110.37,5.8
3002.TW,2025-11-28,75,35,10,15,15,0.54,0.84,-0.3,47.7,1.63,22.84,30.99,41.3
6265.TWO,2025-11-28,75,40,20,15,0,1.29,1.34,-0.04,63.2,1.55,15.5,23.25,124.3
2478.TW,2025-11-28,70,30,20,5,15,1.27,2.06,-0.79,50.9,3.67,54.36,72.71,1.1
2441.TW,2025-11-28,70,30,15,10,15,0.4,1.17,-0.77,36.9,3.04,64.62,79.82,10.1
2428.TW,2025-11-28,70,30,20,5,15,2.07,3.02,-0.95,50.4,8.36,172.28,214.08,5.2
8131.TW,2025-11-28,70,30,10,15,15,0.93,1.83,-0.9,39.1,3.15,33.5,49.25,26.7
4760.TWO,2025-11-28,70,35,25,10,0,2.33,2.34,-0.02,64.1,10.57,162.86,215.71,12.0
2492.TW,2025-11-28,65,30,15,5,15,1.64,2.64,-0.99,57.8,6.75,106.0,139.75,0.7
2546.TW,2025-11-28,65,35,15,15,0,0.46,0.64,-0.18,41.4,1.76,85.48,94.28,88.9
6021.TWO,2025-11-28,65,35,15,15,0,0.29,0.5,-0.21,44.2,0.75,24.1,27.85,380.8
6803.TWO,2025-11-28,65,35,20,10,0,1.51,1.65,-0.15,50.0,2.86,290.28,304.58,15.9
3543.TW,2025-11-28,60,30,10,5,15,0.47,1.01,-0.54,39.5,2.84,38.47,52.67,4.0
3711.TW,2025-11-28,60,20,20,5,15,4.94,6.26,-1.32,50.6,9.36,210.78,257.58,5.3
3264.TWO,2025-11-28,60,35,20,5,0,0.82,0.89,-0.07,54.3,3.04,85.22,100.42,6.6
1815.TWO,2025-11-28,60,30,15,15,0,2.14,3.06,-0.92,55.8,6.57,68.56,101.41,37.1
6693.TWO,2025-11-28,60,30,15,15,0,2.16,2.28,-0.12,44.3,3.88,68.74,88.14,25.6
6721.TWO,2025-11-28,60,35,15,10,0,0.07,0.08,-0.01,48.3,0.34,60.92,62.62,11.3
8924.TWO,2025-11-28,60,35,20,5,0,0.26,0.36,-0.1,51.5,1.38,70.04,76.94,8.1
8077.TWO,2025-11-27,60,40,15,5,0,0.19,0.23,-0.05,45.4,0.66,44.68,47.98,2.5
8936.TWO,2025-11-28,55,30,10,15,0,0.16,0.88,-0.72,41.1,2.66,51.68,64.98,45.2
8358.TWO,2025-11-28,55,30,15,10,0,0.88,1.39,-0.51,51.0,13.07,203.86,269.21,10.7
6290.TWO,2025-11-28,50,25,15,10,0,5.79,7.75,-1.96,42.3,7.93,166.14,205.79,17.6
6284.TWO,2025-11-28,50,30,20,0,0,0.51,1.07,-0.56,58.1,3.09,75.02,90.47,0.0
4950.TWO,2025-11-28,50,30,5,15,0,1.15,1.91,-0.76,28.2,1.78,16.44,25.34,11747.2
6654.TWO,2025-11-28,50,35,10,5,0,1.69,2.18,-0.49,37.7,2.66,79.68,92.98,8.2
