Ticker,ROI(%)
1773.TW,14.02
2303.TW,132.59
2316.TW,-7.62
2337.TW,-29.05
2353.TW,11.45
2369.TW,0.46
2423.TW,54.02
2453.TW,-3.32
2465.TW,20.63
2488.TW,-1.55
2908.TW,3.92
3028.TW,32.39
3229.TW,18.64
3356.TW,17.77
3481.TW,232.2
3535.TW,-12.46
5215.TW,12.09
5434.TW,2.53
6116.TW,60.97
6166.TW,44.88
6579.TW,25.03
6695.TW,-5.62
6756.TW,-2.11
6792.TW,22.74
8039.TW,25.69
8110.TW,-17.34
8499.TW,-46.53
1268.TWO,3.39
2061.TWO,46.69
2070.TWO,58.09
3131.TWO,87.49
3141.TWO,18.08
3162.TWO,15.14
3707.TWO,8.34
4111.TWO,-3.61
4163.TWO,5.29
5236.TWO,17.37
5263.TWO,17.95
5347.TWO,67.51
5351.TWO,13.23
5464.TWO,144.78
5490.TWO,2.42
5523.TWO,1.34
5864.TWO,22.02
6020.TWO,4.46
6023.TWO,-5.67
6101.TWO,-3.99
6411.TWO,25.19
6716.TWO,74.63
7556.TWO,49.36
8086.TWO,-20.59
8088.TWO,-8.21
8383.TWO,31.62
9960.TWO,44.3
