Ticker,ROI(%)
1514.TW,14.61
1521.TW,10.97
1525.TW,-6.31
1533.TW,0.83
1583.TW,-2.32
1608.TW,-30.08
1612.TW,-3.82
1809.TW,55.01
2032.TW,-1.79
2236.TW,-3.93
2313.TW,76.93
2324.TW,4.93
2355.TW,8.6
2356.TW,36.45
2420.TW,1.95
2423.TW,40.27
2441.TW,11.67
2453.TW,-1.49
2465.TW,20.63
2476.TW,28.2
3023.TW,-7.37
3025.TW,-22.44
3033.TW,35.0
3229.TW,48.26
3231.TW,4.79
3305.TW,-3.64
3356.TW,14.47
3416.TW,-5.12
3583.TW,64.58
3673.TW,56.06
3706.TW,-8.59
4106.TW,5.06
4555.TW,21.54
4766.TW,-12.1
4967.TW,-1.58
5215.TW,10.82
5285.TW,92.26
6141.TW,77.05
6197.TW,23.15
6206.TW,23.44
6282.TW,11.04
6414.TW,2.61
6456.TW,32.74
6491.TW,0.74
6579.TW,24.46
6770.TW,16.96
6792.TW,19.9
1268.TWO,2.74
2070.TWO,49.79
3066.TWO,5.55
3088.TWO,70.5
3141.TWO,18.08
3162.TWO,15.14
3191.TWO,22.56
3332.TWO,-0.71
3372.TWO,-24.13
3402.TWO,-1.29
3467.TWO,30.0
3479.TWO,30.73
3675.TWO,52.76
4163.TWO,5.65
4207.TWO,18.87
4931.TWO,20.8
4995.TWO,-5.89
5464.TWO,146.2
5488.TWO,9.51
5493.TWO,-16.5
5523.TWO,1.84
6015.TWO,32.21
6020.TWO,2.28
6121.TWO,0.46
6161.TWO,23.95
6190.TWO,28.17
6417.TWO,4.04
6506.TWO,0.43
6509.TWO,31.19
6642.TWO,42.39
6690.TWO,-4.84
6840.TWO,9.59
6922.TWO,-17.79
6996.TWO,-4.55
7556.TWO,45.82
8040.TWO,78.64
8064.TWO,188.71
8390.TWO,5.68
