Ticker,Name,Industry
1817.TW,凱撒衛,玻璃陶瓷
1903.TW,士紙,造紙工業
1904.TW,正隆,造紙工業
1905.TW,華紙,造紙工業
1906.TW,寶隆,造紙工業
1907.TW,永豐餘,造紙工業
1909.TW,榮成,造紙工業
2002.TW,中鋼,鋼鐵工業
2006.TW,東和鋼鐵,鋼鐵工業
2007.TW,燁興,鋼鐵工業
2008.TW,高興昌,鋼鐵工業
2009.TW,第一銅,鋼鐵工業
2010.TW,春源,鋼鐵工業
2012.TW,春雨,鋼鐵工業
2013.TW,中鋼構,鋼鐵工業
2014.TW,中鴻,鋼鐵工業
2015.TW,豐興,鋼鐵工業
2017.TW,官田鋼,鋼鐵工業
2020.TW,美亞,鋼鐵工業
2022.TW,聚亨,鋼鐵工業
2023.TW,燁輝,鋼鐵工業
2024.TW,志聯,鋼鐵工業
2025.TW,千興,鋼鐵工業
2027.TW,大成鋼,鋼鐵工業
2028.TW,威致,鋼鐵工業
2029.TW,盛餘,鋼鐵工業
2030.TW,彰源,鋼鐵工業
2031.TW,新光鋼,鋼鐵工業
2032.TW,新鋼,鋼鐵工業
2033.TW,佳大,鋼鐵工業
2034.TW,允強,鋼鐵工業
2038.TW,海光,鋼鐵工業
2049.TW,上銀,電機機械
2059.TW,川湖,電子零組件業
2062.TW,橋椿,居家生活
2069.TW,運錩,鋼鐵工業
2101.TW,南港,橡膠工業
2102.TW,泰豐,橡膠工業
2103.TW,台橡,橡膠工業
2104.TW,國際中橡,橡膠工業
2105.TW,正新,橡膠工業
2106.TW,建大,橡膠工業
2107.TW,厚生,橡膠工業
2108.TW,南帝,橡膠工業
2109.TW,華豐,橡膠工業
2114.TW,鑫永銓,橡膠工業
2115.TW,六暉-KY,汽車工業
2201.TW,裕隆,汽車工業
2204.TW,中華,汽車工業
2206.TW,三陽工業,汽車工業
2207.TW,和泰車,汽車工業
2208.TW,台船,航運業
2211.TW,長榮鋼,鋼鐵工業
2227.TW,裕日車,汽車工業
2228.TW,劍麟,汽車工業
2231.TW,為升,汽車工業
2233.TW,宇隆,汽車工業
2236.TW,百達-KY,汽車工業
2239.TW,英利-KY,汽車工業
2241.TW,艾姆勒,汽車工業
2243.TW,宏旭-KY,汽車工業
2247.TW,汎德永業,汽車工業
2248.TW,華勝-KY,汽車工業
2250.TW,IKKA-KY,汽車工業
2301.TW,光寶科,電腦及週邊設備業
2302.TW,麗正,半導體業
2303.TW,聯電,半導體業
2305.TW,全友,電腦及週邊設備業
2308.TW,台達電,電子零組件業
2312.TW,金寶,其他電子業
2313.TW,華通,電子零組件業
2314.TW,台揚,通信網路業
2316.TW,楠梓電,電子零組件業
2317.TW,鴻海,其他電子業
2321.TW,東訊,通信網路業
2323.TW,中環,光電業
2324.TW,仁寶,電腦及週邊設備業
2327.TW,國巨*,電子零組件業
2328.TW,廣宇,電子零組件業
2329.TW,華泰,半導體業
2330.TW,台積電,半導體業
